,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
28,2009-09-01,12.55398320035558,11.908354092252367,12.81127788927267,12.55398320035558,12.55398320035558,-0.1936378172455713,-0.1936378172455713,-0.1936378172455713,-0.1936378172455713,-0.1936378172455713,-0.1936378172455713,0.0,0.0,0.0,12.360345383110008
29,2009-10-01,12.584637866133045,11.754717160014016,12.727133028547188,12.584637866133045,12.584637866133045,-0.359755372906343,-0.359755372906343,-0.359755372906343,-0.359755372906343,-0.359755372906343,-0.359755372906343,0.0,0.0,0.0,12.224882493226701
30,2009-11-01,12.61631435410309,11.798587780180892,12.686557610044911,12.61631435410309,12.61631435410309,-0.3897893700878717,-0.3897893700878717,-0.3897893700878717,-0.3897893700878717,-0.3897893700878717,-0.3897893700878717,0.0,0.0,0.0,12.226524984015219
31,2009-12-01,12.631446917598897,11.876602495784873,12.789188924662373,12.631446917598897,12.631446917598897,-0.29491470963943334,-0.29491470963943334,-0.29491470963943334,-0.29491470963943334,-0.29491470963943334,-0.29491470963943334,0.0,0.0,0.0,12.336532207959463
32,2010-01-01,12.632666181354246,12.703270165060813,13.593974382128074,12.632666181354246,12.632666181354246,0.5333640361283554,0.5333640361283554,0.5333640361283554,0.5333640361283554,0.5333640361283554,0.5333640361283554,0.0,0.0,0.0,13.166030217482602
33,2010-02-01,12.618742450943689,12.77773499518963,13.668595722871,12.618742450943689,12.618742450943689,0.6094243406882659,0.6094243406882659,0.6094243406882659,0.6094243406882659,0.6094243406882659,0.6094243406882659,0.0,0.0,0.0,13.228166791631955
34,2010-03-01,12.606166178314798,12.634505227483347,13.505392818143665,12.606166178314798,12.606166178314798,0.45991611954938977,0.45991611954938977,0.45991611954938977,0.45991611954938977,0.45991611954938977,0.45991611954938977,0.0,0.0,0.0,13.066082297864188
35,2010-04-01,12.578814631461578,12.455624314046691,13.33775968455079,12.578814631461578,12.578814631461578,0.3215927869370873,0.3215927869370873,0.3215927869370873,0.3215927869370873,0.3215927869370873,0.3215927869370873,0.0,0.0,0.0,12.900407418398665
36,2010-05-01,12.541859035450639,12.174550580662917,13.079771418332454,12.541859035450639,12.541859035450639,0.09454228919542794,0.09454228919542794,0.09454228919542794,0.09454228919542794,0.09454228919542794,0.09454228919542794,0.0,0.0,0.0,12.636401324646066
37,2010-06-01,12.503671586239332,11.873725296818042,12.842130480178085,12.503671586239332,12.503671586239332,-0.143394406188334,-0.143394406188334,-0.143394406188334,-0.143394406188334,-0.143394406188334,-0.143394406188334,0.0,0.0,0.0,12.360277180050998
38,2010-07-01,12.461903593864587,12.107100773243763,13.048531886456686,12.461903593864587,12.461903593864587,0.13102697370975272,0.13102697370975272,0.13102697370975272,0.13102697370975272,0.13102697370975272,0.13102697370975272,0.0,0.0,0.0,12.59293056757434
39,2010-08-01,12.416374510531917,12.184227407852257,13.087980583819437,12.416374510531917,12.416374510531917,0.21525172414426585,0.21525172414426585,0.21525172414426585,0.21525172414426585,0.21525172414426585,0.21525172414426585,0.0,0.0,0.0,12.631626234676183
40,2010-09-01,12.370845427199248,11.750565481515814,12.612702622624363,12.370845427199248,12.370845427199248,-0.21880798217905342,-0.21880798217905342,-0.21880798217905342,-0.21880798217905342,-0.21880798217905342,-0.21880798217905342,0.0,0.0,0.0,12.152037445020195
41,2010-10-01,12.326785018267676,11.59878201729397,12.418485758955995,12.326785018267676,12.326785018267676,-0.3151887269395792,-0.3151887269395792,-0.3151887269395792,-0.3151887269395792,-0.3151887269395792,-0.3151887269395792,0.0,0.0,0.0,12.011596291328097
42,2010-11-01,12.281255929481832,11.479666512175402,12.340891262384016,12.281255929481832,12.281255929481832,-0.378246832992556,-0.378246832992556,-0.378246832992556,-0.378246832992556,-0.378246832992556,-0.378246832992556,0.0,0.0,0.0,11.903009096489276
43,2010-12-01,12.237195520294543,11.577273164069945,12.421451528479496,12.237195520294543,12.237195520294543,-0.2660343284914746,-0.2660343284914746,-0.2660343284914746,-0.2660343284914746,-0.2660343284914746,-0.2660343284914746,0.0,0.0,0.0,11.971161191803068
44,2011-01-01,12.191666430801009,12.272877232977235,13.195416523104454,12.191666430801009,12.191666430801009,0.5324190067907987,0.5324190067907987,0.5324190067907987,0.5324190067907987,0.5324190067907987,0.5324190067907987,0.0,0.0,0.0,12.724085437591807
45,2011-02-01,12.146137340737377,12.190874284489063,13.056462895865687,12.146137340737377,12.146137340737377,0.4965370884801897,0.4965370884801897,0.4965370884801897,0.4965370884801897,0.4965370884801897,0.4965370884801897,0.0,0.0,0.0,12.642674429217568
46,2011-03-01,12.105014291680043,12.231994033337642,13.104496805537977,12.105014291680043,12.105014291680043,0.5379492188660593,0.5379492188660593,0.5379492188660593,0.5379492188660593,0.5379492188660593,0.5379492188660593,0.0,0.0,0.0,12.642963510546101
47,2011-04-01,12.05948520165228,11.927129308115294,12.78326248864864,12.05948520165228,12.05948520165228,0.29070927891559273,0.29070927891559273,0.29070927891559273,0.29070927891559273,0.29070927891559273,0.29070927891559273,0.0,0.0,0.0,12.350194480567872
48,2011-05-01,12.015424792004596,11.742421739483422,12.631886774999384,12.015424792004596,12.015424792004596,0.16909314145527823,0.16909314145527823,0.16909314145527823,0.16909314145527823,0.16909314145527823,0.16909314145527823,0.0,0.0,0.0,12.184517933459874
