kreis,ags5,cluster
Trier-Saarburg,7235,0
Stadt Frankenthal (Pfalz),7311,2
Stadt Kaiserslautern,7312,2
Stadt Landau in der Pfalz,7313,2
Stadt Ludwigshafen a. Rh.,7314,2
Stadt Mainz,7315,2
Stadt Neustadt a.d. W.,7316,2
Stadt Pirmasens,7317,2
Stadt Speyer,7318,2
Stadt Worms,7319,2
Stadt Zweibrücken,7320,2
Alzey-Worms,7331,2
Bad Dürkheim,7332,2
Donnersbergkreis,7333,0
Germersheim,7334,2
Kaiserslautern,7335,2
Kusel,7336,0
Südliche Weinstraße,7337,2
Rhein-Pfalz-Kreis,7338,2
Mainz-Bingen,7339,2
Südwestpfalz,7340,0
Stuttgart,8111,2
Böblingen,8115,2
Esslingen,8116,2
Göppingen,8117,2
Ludwigsburg,8118,2
Rems-Murr-Kreis,8119,2
"Heilbronn, Stadt",8121,2
"Heilbronn, Kreis",8125,2
Hohenlohekreis,8126,0
Schwäbisch Hall,8127,0
Main-Tauber-Kreis,8128,0
Heidenheim,8135,2
Ostalbkreis,8136,2
Baden-Baden,8211,2
"Karlsruhe, Stadt",8212,2
"Karlsruhe, Kreis",8215,2
Rastatt,8216,2
Heidelberg,8221,2
Mannheim,8222,2
Neckar-Odenwald-Kreis,8225,0
Rhein-Neckar-Kreis,8226,2
Pforzheim,8231,2
Calw,8235,2
Enzkreis,8236,2
Freudenstadt,8237,0
Freiburg im Breisgau,8311,2
Breisgau-Hochschwarzwald,8315,2
Emmendingen,8316,2
Ortenaukreis,8317,2
Rottweil,8325,2
Schwarzwald-Baar-Kreis,8326,2
Tuttlingen,8327,2
Konstanz,8335,2
Lörrach,8336,2
Waldshut,8337,0
Reutlingen,8415,2
Tübingen,8416,2
Zollernalbkreis,8417,2
Ulm,8421,2
Alb-Donau-Kreis,8425,0
Biberach,8426,0
Bodenseekreis,8435,2
Ravensburg,8436,2
Sigmaringen,8437,0
Ingolstadt,9161,0
"München, Landeshauptstadt",9162,2
"Rosenheim, Stadt",9163,2
Altötting,9171,0
Berchtesgadener Land,9172,0
Bad Tölz-Wolfratshausen,9173,0
Dachau,9174,2
Ebersberg,9175,2
Eichstätt,9176,0
Erding,9177,0
Freising,9178,2
Fürstenfeldbruck,9179,2
Garmisch-Partenkirchen,9180,0
Landsberg am Lech,9181,0
Miesbach,9182,0
Mühldorf a.Inn,9183,0
"München, Kreis",9184,2
Neuburg-Schrobenhausen,9185,0
Pfaffenhofen a.d.Ilm,9186,0
"Rosenheim, Kreis",9187,0
Starnberg,9188,2
Traunstein,9189,0
Weilheim-Schongau,9190,0
"Landshut, Stadt",9261,0
"Passau, Stadt",9262,0
Straubing,9263,0
Deggendorf,9271,0
Freyung-Grafenau,9272,1
Kelheim,9273,0
"Landshut, Kreis",9274,0
"Passau, Kreis",9275,0
Regen,9276,0
Rottal-Inn,9277,0
Straubing-Bogen,9278,0
Dingolfing-Landau,9279,0
Amberg,9361,1
"Regensburg, Stadt",9362,2
Weiden i.d.OPf.,9363,1
Amberg-Sulzbach,9371,1
Cham,9372,1
Neumarkt i.d.OPf.,9373,0
Neustadt a.d.Waldnaab,9374,1
"Regensburg, Kreis",9375,0
Schwandorf,9376,0
Tirschenreuth,9377,1
"Bamberg, Stadt",9461,0
"Bayreuth, Stadt",9462,0
"Coburg, Stadt",9463,0
"Hof, Stadt",9464,0
"Bamberg, Kreis",9471,0
"Bayreuth, Kreis",9472,0
"Coburg, Kreis",9473,0
Forchheim,9474,0
"Hof, Kreis",9475,0
Kronach,9476,0
Kulmbach,9477,1
Lichtenfels,9478,0
Wunsiedel i.Fichtelgebirge,9479,1
"Ansbach, Stadt",9561,0
Erlangen,9562,2
"Fürth, Stadt",9563,2
Nürnberg,9564,2
Schwabach,9565,2
"Ansbach, Kreis",9571,0
Erlangen-Höchstadt,9572,2
"Fürth, Kreis",9573,2
Nürnberger Land,9574,2
Neustadt a.d.Aisch-Bad Windsheim,9575,1
Roth,9576,0
Weißenburg-Gunzenhausen,9577,0
"Aschaffenburg, Stadt",9661,2
"Schweinfurt, Stadt",9662,0
"Würzburg, Stadt",9663,2
"Aschaffenburg, Kreis",9671,2
Bad Kissingen,9672,1
Rhön-Grabfeld,9673,0
Haßberge,9674,1
Kitzingen,9675,0
Miltenberg,9676,0
Main-Spessart,9677,0
"Schweinfurt, Kreis",9678,0
"Würzburg, Kreis",9679,2
"Augsburg, Stadt",9761,2
Kaufbeuren,9762,1
Kempten (Allgäu),9763,0
Memmingen,9764,0
Aichach-Friedberg,9771,0
"Augsburg, Kreis",9772,2
Dillingen a.d.Donau,9773,0
Günzburg,9774,0
Neu-Ulm,9775,2
Lindau (Bodensee),9776,2
Ostallgäu,9777,0
Unterallgäu,9778,0
Donau-Ries,9779,0
Oberallgäu,9780,1
Regionalverband Saarbrücken,10041,2
Landkreis Merzig-Wadern,10042,2
Landkreis Neunkirchen,10043,2
Landkreis Saarlouis,10044,2
Saarpfalz-Kreis,10045,2
Landkreis St. Wendel,10046,2
Berlin,11000,2
Brandenburg an der Havel,12051,0
Cottbus,12052,0
Frankfurt (Oder),12053,1
Potsdam,12054,1
Barnim,12060,1
Dahme-Spreewald,12061,1
Elbe-Elster,12062,1
Havelland,12063,1
Märkisch-Oderland,12064,1
Oberhavel,12065,1
Oberspreewald-Lausitz,12066,1
Oder-Spree,12067,1
Ostprignitz-Ruppin,12068,1
Potsdam-Mittelmark,12069,1
Prignitz,12070,1
Spree-Neiße,12071,1
Teltow-Fläming,12072,1
Uckermark,12073,1
"Rostock, Hansestadt",13003,2
"Schwerin, Landeshauptstadt",13004,1
Mecklenburgische Seenplatte,13071,1
Landkreis Rostock,13072,1
Vorpommern-Rügen,13073,1
Nordwestmecklenburg,13074,0
Vorpommern-Greifswald,13075,1
Ludwigslust-Parchim,13076,1
Chemnitz,14511,2
Erzgebirgskreis,14521,1
Mittelsachsen,14522,1
Vogtlandkreis,14523,1
Zwickau,14524,1
Dresden,14612,2
Bautzen,14625,1
Görlitz,14626,1
Meißen,14627,1
Sächsische Schweiz-Osterzgebirge,14628,1
"Leipzig, Stadt",14713,2
"Leipzig, Kreis",14729,2
Nordsachsen,14730,1
Dessau-Roßlau,15001,1
Halle (Saale),15002,2
Magdeburg,15003,1
Altmarkkreis Salzwedel,15081,1
Anhalt-Bitterfeld,15082,0
Börde,15083,1
Burgenlandkreis,15084,0
Harz,15085,1
Jerichower Land,15086,1
Mansfeld-Südharz,15087,1
Saalekreis,15088,1
Salzlandkreis,15089,1
Stendal,15090,1
Wittenberg,15091,1
Erfurt,16051,1
Gera,16052,1
Jena,16053,2
Suhl,16054,1
Weimar,16055,2
Eisenach,16056,1
Eichsfeld,16061,1
Nordhausen,16062,1
Wartburgkreis,16063,1
Unstrut-Hainich-Kreis,16064,1
Kyffhäuserkreis,16065,1
Schmalkalden-Meiningen,16066,1
Gotha,16067,1
Sömmerda,16068,1
Hildburghausen,16069,1
Ilm-Kreis,16070,1
Weimarer Land,16071,2
Sonneberg,16072,1
Saalfeld-Rudolstadt,16073,1
Saale-Holzland-Kreis,16074,1
Saale-Orla-Kreis,16075,1
Greiz,16076,1
Altenburger Land,16077,0
