ags5,date,ground_truth,pred,error
6414,2020-06-30,7.6,6.6253633,0.9746366500854488
6414,2020-07-31,8.1,6.5407434,1.5592566490173336
6414,2020-08-31,8.3,6.3442717,1.9557283401489265
6414,2020-09-30,8.0,7.182153,0.8178467750549316
6414,2020-10-31,7.8,6.717024,1.0829761505126951
6414,2020-11-30,7.6,6.4243836,1.175616359710693
6414,2020-12-31,7.7,6.9810987,0.7189013481140138
6414,2021-01-31,8.1,6.668597,1.431402778625488
6414,2021-02-28,8.1,6.3994765,1.7005234718322748
6414,2021-03-31,7.9,7.208612400000001,0.6913875579833988
6414,2021-04-30,7.8,7.095232000000001,0.7047679901123045
6414,2021-05-31,7.7,7.1092566999999995,0.5907432556152346
6431,2019-01-31,3.8,3.6351595000000003,0.16484050750732404
6431,2019-02-28,3.7,3.6962762000000002,0.0037238121032716616
6431,2019-03-31,3.6,3.674086,0.0740860939025878
6431,2019-04-30,3.5,3.5504382000000003,0.05043816566467285
6431,2019-05-31,3.4,3.4881797,0.08817968368530282
6431,2019-06-30,3.4,3.53807,0.13806996345520028
6431,2019-07-31,3.4,3.438757,0.038756942749023526
6431,2019-08-31,3.4,3.4397397000000005,0.03973970413208017
6431,2019-09-30,3.3,3.4221190999999997,0.12211914062500018
6431,2019-10-31,3.3,3.2520008,0.04799919128417951
6431,2019-11-30,3.3,3.2571852000000003,0.04281477928161603
6431,2019-12-31,3.3,3.318195,0.0181951045989992
6431,2020-01-31,3.6,3.4401357000000004,0.15986428260803232
6431,2020-02-29,3.5,3.434185,0.06581497192382812
6431,2020-03-31,3.4,3.4072052999999998,0.00720534324646005
6431,2020-04-30,3.9,3.361682,0.5383180618286132
6431,2020-05-31,4.1,3.2892937999999994,0.8107062339782711
6431,2020-06-30,4.3,3.3258013999999996,0.9741986274719237
6431,2020-07-31,4.4,3.7348230000000004,0.6651770114898685
6431,2020-08-31,4.6,3.5653927000000003,1.0346072673797604
6431,2020-09-30,4.5,3.4458589999999996,1.0541410446166992
6431,2020-10-31,4.5,3.7914962999999995,0.7085037231445312
6431,2020-11-30,4.1,3.6433922999999995,0.4566076755523678
6431,2020-12-31,4.2,3.5930182999999998,0.6069817066192629
6431,2021-01-31,4.5,3.7931907,0.7068092823028564
6431,2021-02-28,4.3,3.6616160000000004,0.638383913040161
6431,2021-03-31,4.2,3.6329977999999996,0.5670022487640383
6431,2021-04-30,4.0,4.0094285,0.00942850112915039
6431,2021-05-31,3.8,4.00496,0.20496006011962908
6432,2019-01-31,4.5,4.364664599999999,0.13533544540405273
6432,2019-02-28,4.5,4.361947499999999,0.13805246353149414
6432,2019-03-31,4.3,4.3511224,0.051122379302978686
6432,2019-04-30,4.3,4.2686763,0.031323719024658025
6432,2019-05-31,4.2,4.2440940000000005,0.044093894958495916
6432,2019-06-30,4.2,4.296019,0.0960190773010252
6432,2019-07-31,4.4,4.280191,0.1198090553283695
6432,2019-08-31,4.4,4.2622184999999995,0.13778152465820348
6432,2019-09-30,4.3,4.2596045,0.04039554595947248
6432,2019-10-31,4.2,4.2057133,0.005713272094726385
6432,2019-11-30,4.2,4.1522765,0.04772348403930682
6432,2019-12-31,4.2,4.2180386,0.01803855895996076
6432,2020-01-31,4.5,4.0972486,0.4027514457702637
6432,2020-02-29,4.3,4.3210073,0.02100725173950213
6432,2020-03-31,4.3,4.2590699999999995,0.04093008041381818
6432,2020-04-30,4.8,4.1512,0.6488001823425291
6432,2020-05-31,5.1,4.2943563,0.8056436538696286
6432,2020-06-30,5.2,4.2998114,0.9001886367797853
6432,2020-07-31,5.4,4.255488,1.1445120811462406
6432,2020-08-31,5.6,4.748081,0.8519187927246091
6432,2020-09-30,5.4,4.5831137,0.8168863296508793
6432,2020-10-31,5.1,4.332032,0.7679677963256832
6432,2020-11-30,5.1,4.701164,0.3988362312316891
6432,2020-12-31,5.1,4.6012325,0.4987674713134762
6432,2021-01-31,5.2,4.4719024,0.7280976295471193
6432,2021-02-28,5.2,4.6674194,0.5325805664062502
6432,2021-03-31,5.1,4.615115,0.4848848342895504
6432,2021-04-30,4.9,4.676625700000001,0.22337427139282265
6432,2021-05-31,4.6,4.8740344,0.27403440475463897
6433,2019-01-31,4.8,4.6827426,0.1172574043273924
6433,2019-02-28,4.7,4.70274,0.0027401924133299005
6433,2019-03-31,4.6,4.7083135,0.10831346511840856
6433,2019-04-30,4.6,4.5897017,0.010298347473144176
6433,2019-05-31,4.6,4.4832273,0.11677274703979455
6433,2019-06-30,4.6,4.5080113,0.09198865890502894
6433,2019-07-31,4.8,4.628758,0.171242046356201
6433,2019-08-31,4.9,4.6432657,0.25673427581787145
6433,2019-09-30,4.7,4.596237,0.10376281738281268
6433,2019-10-31,4.6,4.5140066,0.08599338531494105
6433,2019-11-30,4.6,4.4527626,0.14723739624023402
6433,2019-12-31,4.7,4.484738,0.2152621269226076
6433,2020-01-31,5.1,4.9734697,0.1265302658081051
6433,2020-02-29,4.9,5.1290260000000005,0.22902593612670866
6433,2020-03-31,4.8,4.7053056,0.09469442367553693
6433,2020-04-30,5.5,4.559718599999999,0.9402813911437988
6433,2020-05-31,6.1,4.476246,1.6237541198730463
6433,2020-06-30,6.3,5.222558,1.0774419784545897
6433,2020-07-31,6.6,5.076735500000001,1.5232645034790036
6433,2020-08-31,6.8,4.86881,1.9311898231506344
6433,2020-09-30,6.4,5.664685700000001,0.7353142738342289
6433,2020-10-31,6.1,5.244269,0.8557311058044431
6433,2020-11-30,6.0,5.0530696,0.9469304084777832
6433,2020-12-31,5.9,5.528388,0.3716119766235355
6433,2021-01-31,6.2,5.3288565000000006,0.8711435317993166
6433,2021-02-28,6.1,5.044754,1.0552459716796871
6433,2021-03-31,5.9,5.541423,0.3585771560668949
6433,2021-04-30,5.8,5.565342,0.2346580505371092
6433,2021-05-31,5.7,5.6377435,0.06225652694702166
6434,2019-01-31,3.4,3.3644285000000003,0.035571479797363185
6434,2019-02-28,3.5,3.3761852,0.12381482124328612
6434,2019-03-31,3.4,3.34312,0.05687990188598624
6434,2019-04-30,3.4,3.2920743999999997,0.10792555809020987
6434,2019-05-31,3.3,3.224569,0.07543091773986799
6434,2019-06-30,3.3,3.2425582000000004,0.057441759109496886
6434,2019-07-31,3.4,3.279264,0.12073602676391593
6434,2019-08-31,3.5,3.26281,0.2371900081634521
