,ags2,ags5,kreis,median_income,purchasing_power_per_household,purchasing_power_per_person,debtor_quota,household_in_income_calss_1,household_in_income_calss_2,household_in_income_calss_3,household_in_income_calss_4,household_in_income_calss_5,household_in_income_calss_6
67,05,05116,Mönchengladbach,3047,40813,21191,16.1,16167,39186,40323,17329,10981,11734
68,05,05117,Mülheim an der Ruhr,3523,45646,23565,11.6,6317,20933,28524,12404,8700,11327
69,05,05119,Oberhausen,3272,36841,18994,15.2,14415,36352,31468,12419,7558,6466
70,05,05120,Remscheid,3323,45702,23023,13.9,4306,12784,20075,8365,5310,5066
71,05,05122,Solingen,3085,47207,23890,14.6,6947,16012,24465,14286,9122,9796
72,05,05124,Wuppertal,3379,41402,21538,18.4,15792,50115,69941,21314,13647,13514
73,05,05154,Kleve,2882,48771,21462,10.4,19154,21098,35877,22797,19256,18586
74,05,05158,Mettmann,3473,51530,26076,10.3,16178,43050,73213,39881,29307,44077
75,05,05162,Rhein-Kreis Neuss,3446,55797,25956,10.5,6699,28544,61174,39395,30402,43540
76,05,05166,Viersen,2969,50575,23724,10.3,18111,22636,35671,22456,17932,23366
77,05,05170,Wesel,3047,47985,22637,10.0,27482,39420,57387,35107,27106,30331
78,05,05314,Bonn,3857,45203,23779,8.9,9013,25615,50756,35738,23907,27088
79,05,05315,Köln,3696,44374,22699,11.7,26970,91707,151147,98274,87897,99312
80,05,05316,Leverkusen,4170,44332,22091,11.7,5048,18138,26685,12911,8470,10372
81,05,05334,Aachen,3365,42356,21044,11.1,29589,59138,88769,43114,27005,28292
82,05,05358,Düren,3236,47523,21717,11.9,13125,24495,34425,19276,15250,13897
83,05,05362,Rhein-Erft-Kreis,3188,48706,23091,11.3,26128,31526,57268,39026,29931,38925
84,05,05366,Euskirchen,3079,49058,22372,11.0,10866,14753,23472,14795,11913,12099
85,05,05370,Heinsberg,2926,45921,20911,11.6,19671,18998,28414,17881,15565,15238
86,05,05374,Oberbergischer Kreis,3320,51133,23811,10.3,9509,21452,39045,24025,16998,15806
87,05,05378,Rheinisch-Bergischer Kreis,3192,56698,26913,9.0,7295,15898,34371,24527,20426,31991
88,05,05382,Rhein-Sieg-Kreis,3082,53513,24467,8.8,22978,32952,69053,50517,40896,57744
89,05,05512,Bottrop,3149,41789,20815,11.8,6117,13981,18512,9025,5672,5149
90,05,05513,Gelsenkirchen,3242,32368,16594,18.0,17965,56289,38230,10646,5873,4605
91,05,05515,Münster,3432,44714,24153,8.4,9565,30105,49710,28864,23444,28050
92,05,05554,Borken,3091,55761,23297,8.6,12650,20870,42240,28978,24208,25828
93,05,05558,Coesfeld,3000,57866,24482,7.2,6482,11043,23776,17631,14924,19118
94,05,05562,Recklinghausen,3127,41875,20907,13.0,38584,80000,90240,42519,28057,27690
95,05,05566,Steinfurt,2976,53984,22960,8.8,17793,26307,52773,36873,28353,28193
96,05,05570,Warendorf,3201,55555,24050,8.9,8721,19339,33849,21832,17211,19249
97,05,05711,Bielefeld,3310,45846,23193,11.4,14272,36003,53496,27912,19811,17314
98,05,05754,Gütersloh,3177,60079,26086,8.7,7962,21120,43584,31568,24760,29006
99,05,05758,Herford,3055,49554,23369,10.8,10057,22108,38226,20600,13637,13593
100,05,05762,Höxter,2901,50937,22773,8.4,4785,12179,23371,10212,6595,5689
101,05,05766,Lippe,3185,49853,23276,9.7,15537,29677,51086,27672,19747,18860
102,05,05770,Minden-Lübbecke,3097,53873,24066,10.2,11471,23888,43309,25339,18249,16455
103,05,05774,Paderborn,3077,48060,22302,9.1,13071,21527,42636,26379,19846,18872
104,05,05911,Bochum,3273,38357,20560,12.4,25741,55496,62839,23741,14059,13539
105,05,05913,Dortmund,3315,37437,19787,14.4,57604,98059,69862,34441,24804,25445
106,05,05914,Hagen,3267,40816,20553,15.9,7505,28959,35278,11475,6335,5511
107,05,05915,Hamm,3022,39025,18802,14.9,11625,26464,24249,10985,6919,6009
108,05,05916,Herne,3295,34280,18201,17.9,12239,31556,23374,8087,4268,3483
109,05,05954,Ennepe-Ruhr-Kreis,3267,48525,25238,11.0,17236,35717,51170,25606,18337,20559
110,05,05958,Hochsauerlandkreis,3186,49921,24806,10.1,14779,23310,42149,22073,14244,12808
111,05,05962,Märkischer Kreis,3314,53801,25763,12.8,8073,35269,74673,33974,22991,22294
112,05,05966,Olpe,3290,61012,28936,8.5,3116,6729,18243,14882,10984,9933
113,05,05970,Siegen-Wittgenstein,3418,49378,24153,9.3,13678,22381,42589,25999,17455,13904
114,05,05974,Soest,3174,49507,23322,10.3,15608,25191,40819,24998,17839,17689
115,05,05978,Unna,2948,44918,22072,11.7,22876,45531,54422,29629,21185,20290
116,06,06411,Kreisfreie Stadt Darmstadt,4185,43264,23084,8.8,4734,11235,26063,20321,11821,10763
117,06,06412,Kreisfreie Stadt Frankfurt am Main,4182,42066,22341,10.5,5966,41232,111154,74208,76308,91046
118,06,06413,Kreisfreie Stadt Offenbach am Main,3450,34684,18199,17.1,4954,12483,28796,12403,5229,3677
119,06,06414,Landeshauptstadt Wiesbaden,3758,48582,25907,16.6,1264,10283,44907,37289,26510,28166
120,06,06431,Bergstraße,3029,50085,24410,8.8,4740,17438,40675,27663,18653,22225
121,06,06432,Darmstadt-Dieburg,3131,51986,24412,8.5,2603,12227,40179,31381,24006,29215
122,06,06433,Groß-Gerau,3687,45004,21350,9.4,3776,18791,42553,28573,18683,17837
123,06,06434,Hochtaunus,4024,71975,34300,7.1,583,2542,20693,25287,23146,40458
124,06,06435,Main-Kinzig,3134,51077,24048,10.1,5846,27779,66342,39645,27250,30322
125,06,06436,Main-Taunus,4061,56091,27361,7.2,1365,8286,27607,25840,20231,32617
126,06,06437,Odenwaldkreis,2958,47724,22407,9.9,2973,8469,14677,8878,5843,4580
127,06,06438,Offenbach,3477,49989,24102,9.1,2454,17205,54676,37947,26918,31490
128,06,06439,Rheingau-Taunus,3172,50711,25352,8.1,4994,11682,26440,17794,14518,18119
129,06,06440,Wetterau,3156,51314,24040,9.7,5720,16600,43717,29976,21414,26090
