ags2,ags5,kreis,Number_of_Commuters_place_of_work,Number_of_Commuters_on_place_of_residence),Commuter_Balance,Proportion_of_in_commuters,Share_of_out_commuters,Relative Commuter Balance,Commute_within_50km,Commute_within_150km,Commute_within_300km
8,8128,Main-Tauber-Kreis,17607,17505,102,64.7,64.6,0.2,9.9,3.8,1.7
8,8135,Heidenheim,15109,17328,2219,63.6,65.2,-4.7,7.7,3.0,1.3
8,8136,Ostalbkreis,27119,29939,2820,63.3,64.1,-2.5,9.4,2.7,1.2
8,8211,Baden-Baden,20510,11303,9207,67.0,50.0,34.0,12.5,4.8,3.0
8,8212,Karlsruhe,102552,48010,54542,58.3,37.7,33.1,13.5,5.6,3.0
8,8215,Karlsruhe,63297,93022,29725,73.5,77.8,-19.3,9.4,3.7,2.0
8,8216,Rastatt,33995,40517,6522,71.3,73.5,-8.3,8.5,2.9,1.9
8,8221,Heidelberg,62157,24695,37462,69.2,45.2,43.8,14.4,5.7,3.7
8,8222,Mannheim,115480,53072,62408,60.5,39.9,34.3,13.0,4.6,2.8
8,8225,Neckar-Odenwald-Kreis,9486,23362,13876,65.5,72.9,-26.8,10.9,3.1,1.8
8,8226,Rhein-Neckar-Kreis,72417,120421,48004,76.7,81.9,-28.4,10.0,3.3,2.1
8,8231,Pforzheim,31385,23881,7504,53.6,45.1,15.5,9.6,3.8,2.1
8,8235,Calw,14693,34894,20201,63.9,74.7,-42.7,9.6,3.2,1.6
8,8236,Enzkreis,29018,50082,21064,74.0,80.8,-35.0,7.2,3.0,1.6
8,8237,Freudenstadt,12605,16770,4165,62.4,65.4,-8.6,12.2,2.8,1.5
8,8311,Freiburg im Breisgau,69924,25668,44256,54.9,30.5,35.1,11.1,7.0,4.2
8,8315,Breisgau-Hochschwarzwald,29709,50782,21073,72.2,77.8,-25.0,7.9,5.2,2.8
8,8316,Emmendingen,17202,33888,16686,71.3,78.4,-32.4,6.6,3.8,2.3
8,8317,Ortenaukreis,30940,32287,1347,66.3,66.9,-1.7,8.8,3.1,1.7
8,8325,Rottweil,17521,19830,2309,67.6,69.0,-4.5,8.6,2.3,1.1
8,8326,Schwarzwald-Baar-Kreis,20819,20558,261,58.0,57.9,0.4,8.0,3.0,1.9
8,8327,Tuttlingen,19457,13449,6008,66.8,64.0,7.8,5.5,2.0,1.2
8,8335,Konstanz,14407,17745,3338,56.5,57.4,-2.1,9.2,4.7,2.5
8,8336,Lörrach,14874,12305,2569,64.6,63.4,2.8,7.1,4.2,2.8
8,8337,Waldshut,8379,9964,1585,63.0,63.7,-1.8,7.0,3.4,2.0
8,8415,Reutlingen,33466,39417,5951,65.3,66.8,-4.5,6.7,3.2,1.5
8,8416,Tübingen,30723,38010,7287,64.9,67.7,-8.8,9.0,4.0,2.1
8,8417,Zollernalbkreis,13901,23627,9726,58.9,64.1,-14.5,9.1,2.7,1.4
8,8421,Ulm,64008,21996,42012,67.2,39.7,45.7,12.1,5.5,2.2
8,8425,Alb-Donau-Kreis,20074,50278,30204,66.3,78.1,-54.7,9.2,3.6,1.5
8,8426,Biberach,24905,27143,2238,71.4,72.4,-3.4,7.9,2.8,1.4
8,8435,Bodenseekreis,25023,21941,3082,64.8,64.1,2.2,7.6,5.1,2.2
8,8436,Ravensburg,32244,32505,261,66.3,66.4,-0.5,7.6,3.8,1.6
8,8437,Sigmaringen,12381,19045,6664,63.9,68.3,-13.8,8.8,2.7,1.3
9,9161,Ingolstadt,65245,20738,44507,61.3,32.4,42.8,12.6,4.3,2.8
9,9162,München,403100,191015,212085,45.0,27.7,24.0,8.9,6.1,4.6
9,9163,Rosenheim,23723,14568,9155,67.4,53.4,30.0,18.8,3.8,2.8
9,9171,Altötting,17034,15286,1748,76.2,75.4,3.4,10.6,2.9,2.0
9,9172,Berchtesgadener Land,7099,7271,172,65.2,65.5,-0.5,9.0,4.2,2.6
9,9173,Bad Tölz-Wolfratshausen,10334,24011,13677,65.5,74.7,-35.8,12.8,4.0,3.0
9,9174,Dachau,19698,46037,26339,74.4,84.4,-63.3,8.0,3.8,2.7
9,9175,Ebersberg,22659,43094,20435,79.2,85.9,-46.5,8.2,4.6,3.4
9,9176,Eichstätt,19818,35908,16090,76.8,83.7,-41.6,8.1,2.5,1.4
9,9177,Erding,20954,38013,17059,74.5,81.6,-38.2,15.0,4.1,3.1
9,9178,Freising,47569,47594,25,79.5,79.5,0.3,15.4,5.0,3.7
9,9179,Fürstenfeldbruck,22501,61090,38589,75.3,85.9,-75.7,8.3,4.3,3.0
9,9180,Garmisch-Partenkirchen,5074,9330,4256,54.2,59.8,-14.2,16.1,4.5,3.0
9,9181,Landsberg am Lech,16252,24826,8574,75.0,79.9,-24.1,24.2,3.9,2.6
9,9182,Miesbach,13081,16704,3623,73.3,75.9,-10.5,16.8,4.0,3.0
9,9183,Mühldorf a.Inn,12838,19955,7117,69.8,74.9,-18.3,19.2,3.3,2.7
9,9184,München,189150,92379,96771,90.4,84.3,39.0,8.0,5.3,3.8
9,9185,Neuburg-Schrobenhausen,11904,21783,9879,64.6,72.4,-28.3,10.7,2.9,1.8
9,9186,Pfaffenhofen a.d.Ilm,21001,34562,13561,73.4,80.4,-35.5,21.8,3.5,2.4
9,9187,Rosenheim,26852,45270,18418,72.4,77.7,-23.0,15.6,3.5,2.6
9,9188,Starnberg,32015,29542,2473,80.4,79.9,2.5,9.1,5.2,3.8
9,9189,Traunstein,15725,17987,2262,68.7,69.7,-3.0,9.8,3.1,2.3
9,9190,Weilheim-Schongau,15685,21085,5400,68.5,72.0,-12.4,17.3,3.0,2.1
9,9261,Landshut,24493,16624,7869,65.7,54.2,25.1,19.6,3.9,2.7
9,9262,Passau,27263,6325,20938,68.8,32.6,53.6,12.8,8.2,3.5
9,9263,Straubing,18456,8017,10439,61.1,40.3,34.9,15.0,3.8,2.4
9,9271,Deggendorf,16266,15977,289,71.3,71.0,1.0,14.8,5.1,2.0
9,9272,Freyung-Grafenau,6016,11743,5727,68.6,75.1,-26.2,10.4,4.9,1.3
9,9273,Kelheim,11977,25818,13841,64.6,73.7,-34.4,13.3,3.1,2.1
9,9274,Landshut,21856,39680,17824,75.9,82.6,-38.1,16.5,2.9,2.2
9,9275,Passau,17087,32802,15715,69.1,75.7,-26.8,9.5,4.4,1.7
9,9276,Regen,6889,9304,2415,69.5,72.8,-12.0,11.2,3.9,1.1
9,9277,Rottal-Inn,9555,18933,9378,68.1,74.3,-24.0,11.2,3.3,2.2
9,9278,Straubing-Bogen,10801,27008,16207,72.7,82.9,-59.1,12.1,3.6,1.8
9,9279,Dingolfing-Landau,20938,15046,5892,76.8,72.9,14.6,13.2,2.6,1.9
9,9361,Amberg,18055,7245,10810,64.7,41.7,39.5,12.9,4.0,1.8
9,9362,Regensburg,79839,19848,59991,64.1,30.0,48.7,13.9,4.7,3.0
9,9363,Weiden i.d.OPf.,18239,6924,11315,65.0,40.4,41.2,11.6,4.2,2.0
9,9371,Amberg-Sulzbach,10497,25454,14957,64.7,76.9,-53.0,12.4,3.5,1.4
9,9372,Cham,12815,13025,210,70.6,72.1,-7.0,10.7,3.5,1.0
9,9373,Neumarkt i.d.OPf.,12982,20310,7328,64.2,69.1,-15.8,12.6,3.9,1.7
9,9374,Neustadt a.d.Waldnaab,12979,20639,7660,75.5,81.1,-31.1,10.1,3.5,1.6
9,9375,Regensburg,21833,56720,34887,76.2,86.6,-77.4,9.8,3.8,2.2
9,9376,Schwandorf,16900,24477,7577,70.1,73.6,-13.7,11.1,4.2,1.7
9,9377,Tirschenreuth,8898,12314,3416,69.0,73.5,-16.9,9.2,2.9,1.3
9,9461,Bamberg,37322,12377,24945,69.7,41.0,48.7,15.2,5.7,2.2
9,9462,Bayreuth,29036,8619,20417,61.4,30.8,44.2,14.1,6.9,2.8
9,9463,Coburg,23859,7027,16832,69.7,39.1,50.2,11.4,4.1,2.5
9,9464,Hof,14435,7172,7263,58.8,40.4,30.9,12.1,6.5,3.8
9,9471,Bamberg,16951,42488,25537,75.8,85.7,-70.5,11.9,3.5,1.2
9,9472,Bayreuth,9321,28966,19645,66.7,81.8,-83.2,10.8,4.0,1.5
9,9473,Coburg,13618,22812,9194,71.6,78.6,-32.6,7.5,3.0,1.9
9,9474,Forchheim,12049,30491,18442,70.9,82.0,-61.0,6.9,3.9,1.5
9,9475,Hof,16218,15998,220,73.5,73.5,-0.1,8.8,4.2,2.5
9,9476,Kronach,6942,9792,2850,68.4,71.6,-11.8,7.6,3.0,1.7
9,9477,Kulmbach,9213,11854,2641,66.3,70.1,-12.4,9.6,3.7,1.5
9,9478,Lichtenfels,10376,10740,364,71.0,71.3,-1.3,8.0,3.3,1.8
9,9479,Wunsiedel i.Fichtelgebirge,9525,8111,1414,64.2,62.7,4.2,8.6,4.0,1.9
9,9561,Ansbach,17967,7578,10389,64.2,42.2,38.0,13.7,4.5,1.5
9,9562,Erlangen,62816,19369,43447,68.8,39.2,48.6,7.4,5.4,1.9
9,9563,Fürth,32234,40790,8556,66.3,70.8,-15.4,7.6,5.5,2.0
9,9564,Nürnberg,162863,71715,91148,52.8,31.8,30.9,9.1,6.4,2.3
9,9565,Schwabach,11330,11426,96,66.7,67.4,-1.9,7.8,5.1,1.8
9,9571,Ansbach,16739,34582,17843,66.9,74.5,-29.5,9.4,4.0,1.2
9,9572,Erlangen-Höchstadt,31010,37954,6944,77.4,80.2,-14.1,6.5,4.5,1.6
9,9573,Fürth,13657,37829,24172,74.1,87.1,-99.4,7.0,4.9,1.7
9,9574,Nürnberger Land,22506,38658,16152,74.7,80.7,-32.3,7.9,4.7,1.8
9,9575,Neustadt a.d.Aisch-Bad Windsheim,8884,18757,9873,69.5,76.4,-29.2,10.7,3.7,1.2
9,9576,Roth,15971,30310,14339,66.7,76.2,-39.6,9.9,4.7,1.9
9,9577,Weißenburg-Gunzenhausen,7066,13479,6413,64.2,69.6,-17.8,14.7,3.2,1.5
9,9661,Aschaffenburg,33171,15571,17600,70.1,51.8,38.0,9.1,4.0,2.2
9,9662,Schweinfurt,40764,7574,33190,76.1,36.0,62.7,8.0,4.0,2.2
9,9663,Würzburg,58241,19070,39171,63.7,35.9,43.4,13.0,6.7,3.1
9,9671,Aschaffenburg,23989,43702,19713,77.6,83.7,-37.9,10.9,4.0,2.0
9,9672,Bad Kissingen,9800,16387,6587,68.1,73.4,-20.0,11.1,4.4,2.3
9,9673,Rhön-Grabfeld,9298,10121,823,75.2,76.6,-6.0,10.6,3.8,1.7
9,9674,Haßberge,8088,15981,7893,71.9,78.5,-30.3,8.9,3.1,1.4
9,9675,Kitzingen,11151,16159,5008,71.6,75.9,-17.9,9.0,4.0,1.4
9,9676,Miltenberg,13320,23133,9813,79.4,83.4,-23.4,10.7,3.0,1.7
9,9677,Main-Spessart,12879,20103,7224,69.8,74.1,-16.4,9.2,3.7,1.9
9,9678,Schweinfurt,12017,34918,22901,78.5,88.5,-88.1,8.1,3.7,1.9
9,9679,Würzburg,19526,47088,27562,80.3,88.4,-69.9,9.9,4.9,2.4
9,9761,Augsburg,75198,51263,23935,51.8,41.1,18.3,18.2,4.1,2.5
9,9762,Kaufbeuren,9970,8978,992,51.5,49.1,4.8,12.6,2.8,1.8
9,9763,Kempten (Allgäu),21568,13212,8356,59.1,43.9,27.1,8.8,3.3,1.8
9,9764,Memmingen,19756,7384,12372,63.6,38.2,41.1,9.6,3.3,1.7
9,9771,Aichach-Friedberg,16281,35740,19459,70.4,80.8,-53.8,20.0,3.3,2.1
9,9772,Augsburg,36425,64364,27939,77.7,84.0,-38.9,12.6,3.4,2.0
9,9773,Dillingen a.d.Donau,9465,17060,7595,68.4,74.3,-23.6,8.9,2.0,1.0
9,9774,Günzburg,15393,18286,2893,73.2,74.6,-5.9,9.2,2.5,1.3
9,9775,Neu-Ulm,29796,39575,9779,73.6,76.9,-14.3,9.1,3.7,1.6
9,9776,Lindau (Bodensee),10574,10143,431,65.1,65.0,0.4,8.6,5.6,1.9
9,9777,Ostallgäu,15657,24707,9050,65.9,71.6,-20.0,11.6,2.9,1.8
9,9778,Unterallgäu,18491,28897,10406,73.3,78.0,-21.0,10.6,2.7,1.5
9,9779,Donau-Ries,18050,14700,3350,72.3,70.5,6.0,10.2,2.4,0.9
9,9780,Oberallgäu,16018,25086,9068,67.1,72.5,-19.1,8.2,3.9,1.9
10,10041,Regionalverband Saarbrücken,69455,36292,33163,67.5,57.5,23.5,7.3,5.2,2.4
10,10042,Landkreis Merzig-Wadern,12238,15307,3069,65.1,68.9,-12.2,7.2,3.8,1.5
10,10043,Landkreis Neunkirchen,18943,29334,10391,71.0,76.8,-24.8,6.4,3.8,1.8
10,10044,Landkreis Saarlouis,28014,29634,1620,78.3,78.9,-2.5,6.0,3.7,1.5
10,10045,Saarpfalz-Kreis,35872,24579,11293,73.2,67.7,17.3,7.5,4.0,1.9
10,10046,Landkreis St. Wendel,10120,16647,6527,68.5,74.9,-25.3,9.0,3.0,1.2
11,11000,Berlin,333859,187147,146712,21.7,13.9,9.1,7.9,7.1,5.9
12,12051,Brandenburg an der Havel,11988,9860,2128,40.5,35.4,7.9,15.8,4.8,2.7
12,12052,Cottbus,22027,13174,8853,48.0,35.4,19.5,16.1,7.2,4.3
12,12053,Frankfurt (Oder),14167,6854,7313,47.7,31.8,23.3,17.6,4.9,3.4
12,12054,Potsdam,49621,35557,14064,58.8,49.1,19.3,8.4,6.1,4.3
12,12060,Barnim,17354,41346,23992,65.2,76.3,-46.7,14.1,5.2,3.9
12,12061,Dahme-Spreewald,31140,38291,7151,79.0,80.8,-11.4,15.5,6.1,4.7
12,12062,Elbe-Elster,6708,13343,6635,64.9,71.0,-20.1,18.2,5.4,3.7
12,12063,Havelland,14905,35879,20974,67.1,77.6,-47.0,13.5,5.4,3.7
12,12064,Märkisch-Oderland,19212,44890,25678,74.4,82.9,-50.0,14.4,5.1,3.8
12,12065,Oberhavel,19532,47233,27701,67.4,78.2,-48.8,12.7,5.2,4.0
12,12066,Oberspreewald-Lausitz,14698,16452,1754,67.5,68.5,-3.1,17.6,6.6,3.9
12,12067,Oder-Spree,16730,30960,14230,64.6,71.0,-24.1,17.2,4.7,3.3
12,12068,Ostprignitz-Ruppin,7470,10709,3239,53.6,57.4,-8.4,19.7,5.5,3.0
12,12069,Potsdam-Mittelmark,30497,55461,24964,74.3,81.6,-39.2,14.8,6.0,4.2
12,12070,Prignitz,5475,7602,2127,58.5,61.7,-8.4,17.6,9.1,2.9
12,12071,Spree-Neiße,14144,21624,7480,61.9,68.6,-21.3,14.4,6.7,3.8
12,12072,Teltow-Fläming,30234,37250,7016,71.6,75.0,-13.1,13.5,4.7,3.6
12,12073,Uckermark,6230,10300,4070,50.2,54.4,-9.7,20.2,6.1,4.4
13,13003,"Rostock, Hansestadt",34543,23031,11512,37.7,29.3,11.9,13.5,8.8,4.3
13,13004,"Schwerin, Landeshauptstadt",25668,10561,15107,51.4,30.0,30.5,15.8,5.4,2.5
13,13071,Mecklenburgische Seenplatte,13066,16753,3687,56.2,57.5,-4.3,15.7,7.1,3.4
13,13072,Landkreis Rostock,21737,36615,14878,71.0,76.0,-22.2,14.7,7.6,3.3
13,13073,Vorpommern-Rügen,8968,18169,9201,57.4,62.1,-13.4,15.4,8.4,4.7
13,13074,Nordwestmecklenburg,10357,25550,15193,63.8,71.3,-32.0,15.2,4.6,2.2
13,13075,Vorpommern-Greifswald,13241,17280,4039,58.8,59.7,-3.3,14.4,8.4,4.9
13,13076,Ludwigslust-Parchim,13268,35736,22468,67.8,75.2,-35.4,22.4,6.9,2.7
14,14511,Chemnitz,51919,27847,24072,45.2,30.4,21.3,11.0,5.3,3.4
14,14521,Erzgebirgskreis,18775,35793,17018,66.9,71.6,-16.5,7.6,3.8,2.3
14,14522,Mittelsachsen,27688,40014,12326,67.1,70.3,-10.8,10.8,4.4,3.1
14,14523,Vogtlandkreis,14067,21095,7028,60.7,64.7,-9.7,10.9,5.4,3.0
14,14524,Zwickau,32519,34582,2063,64.4,65.2,-2.1,8.5,3.9,2.5
