ags5,kreis,total area,Residential area percentage,industrial / commertial area percentage,dump area percentage,mining area percentage,"open pit, mine, quarry area percentage",mixed use area percentage,special functional character land percentage,"sport, leisure, recreation area percentage",cemetry area percentage,road area percentage,space area percentage,rail traffic area percentage,air traffic area percentage,shipping area percentage,agri area percentage,forrest area percentage,wood area percentage,health area percentage,moor area percentage,swamp area percentage,without vegetation area percentage,flowing water percentage,harbor basin percentage,standing water percentage,sea percentage
8426,Biberach,1409.5,2.44,1.49,0.0,0.0,0.32,3.47,0.44,0.51,0.06,0.31,0.06,0.03,0.14,0.0,58.06,28.11,1.22,0.0,2.54,0.22,0.02,0.1,0.0,0.46,0.0
8435,Bodenseekreis,664.8,4.31,1.87,0.0,0.0,0.15,4.18,0.63,1.02,0.13,0.34,0.11,0.06,0.29,0.03,55.25,28.86,1.27,0.0,0.21,0.7,0.02,0.14,0.0,0.44,0.0
8436,Ravensburg,1632.1,2.23,1.21,0.0,0.0,0.19,3.95,0.42,0.66,0.06,0.25,0.06,0.05,0.03,0.0,57.33,29.08,1.21,0.0,1.9,0.6,0.01,0.12,0.0,0.63,0.0
8437,Sigmaringen,1204.2,1.91,1.26,0.0,0.0,0.35,2.68,0.56,0.53,0.05,0.19,0.04,0.04,0.1,0.0,50.04,38.84,1.3,0.05,1.38,0.06,0.01,0.16,0.0,0.47,0.0
9161,Ingolstadt,133.4,14.86,7.65,0.0,0.0,0.14,4.18,1.52,4.01,0.33,0.39,0.56,0.55,0.05,0.0,47.05,14.29,0.47,0.01,0.01,0.04,0.32,1.76,0.0,1.82,0.0
9162,München,310.7,37.39,9.49,0.0,0.0,0.1,4.07,4.74,11.75,1.42,1.53,0.99,2.0,0.0,0.0,18.3,5.97,0.5,0.45,0.01,0.0,0.11,0.6,0.0,0.58,0.0
9163,Rosenheim,37.2,19.56,6.8,0.0,0.0,0.13,6.5,2.69,2.28,0.3,0.24,0.32,0.83,0.0,0.0,41.21,16.04,0.43,0.0,0.11,0.0,0.0,1.16,0.0,1.42,0.0
9171,Altötting,569.3,4.0,2.29,0.0,0.0,0.29,4.11,0.3,0.59,0.05,0.12,0.07,0.07,0.01,0.0,56.15,30.06,0.08,0.0,0.05,0.01,0.03,1.5,0.0,0.23,0.0
9172,Berchtesgadener Land,810.2,1.87,0.59,0.0,0.0,0.1,2.36,0.3,0.35,0.03,0.06,0.05,0.05,0.0,0.0,23.77,49.3,5.8,0.0,0.09,0.01,13.79,0.45,0.0,1.01,0.0
9173,Bad Tölz-Wolfratshausen,1102.7,1.95,0.6,0.0,0.0,0.1,1.77,0.19,0.51,0.04,0.05,0.05,0.02,0.04,0.0,30.4,55.44,2.15,0.0,1.85,0.46,1.25,0.54,0.0,2.59,0.0
9174,Dachau,579.2,3.8,1.44,0.0,0.0,0.15,3.88,0.49,1.15,0.1,0.13,0.06,0.06,0.01,0.0,70.58,17.22,0.24,0.0,0.01,0.01,0.01,0.26,0.0,0.41,0.0
9175,Ebersberg,473.8,3.86,1.25,0.0,0.0,0.17,3.24,0.33,1.03,0.07,0.13,0.09,0.05,0.0,0.0,50.68,38.04,0.11,0.0,0.12,0.0,0.04,0.12,0.0,0.66,0.0
9176,Eichstätt,1208.4,2.46,1.09,0.07,0.0,0.49,2.22,0.18,0.36,0.04,0.05,0.05,0.02,0.02,0.0,50.47,40.89,0.38,0.37,0.01,0.01,0.16,0.41,0.0,0.22,0.0
9177,Erding,870.7,2.38,0.97,0.0,0.0,0.29,4.14,0.35,0.59,0.05,0.11,0.05,0.01,1.26,0.0,74.45,14.02,0.3,0.0,0.06,0.01,0.04,0.31,0.0,0.61,0.0
9178,Freising,799.8,3.06,1.51,0.0,0.0,0.37,3.75,0.45,0.67,0.05,0.2,0.12,0.03,0.94,0.0,67.81,19.19,0.42,0.05,0.03,0.02,0.05,0.58,0.0,0.69,0.0
9179,Fürstenfeldbruck,434.8,7.51,2.01,0.01,0.0,0.27,3.17,0.85,1.76,0.16,0.12,0.13,0.19,0.75,0.0,58.87,22.41,0.3,0.0,0.88,0.0,0.06,0.21,0.0,0.32,0.0
9180,Garmisch-Partenkirchen,928.7,1.88,0.32,0.0,0.0,0.06,0.91,0.3,0.43,0.03,0.05,0.06,0.03,0.01,0.0,18.99,53.03,7.25,0.0,4.18,0.2,10.66,0.27,0.0,1.34,0.0
9181,Landsberg am Lech,757.0,2.98,1.31,0.0,0.0,0.38,2.65,0.54,0.47,0.05,0.13,0.08,0.04,0.23,0.0,53.26,29.31,0.49,0.02,0.28,0.1,0.36,1.33,0.0,5.97,0.0
9182,Miesbach,866.2,2.4,0.51,0.0,0.0,0.08,2.14,0.15,0.57,0.03,0.08,0.06,0.03,0.01,0.0,32.92,55.41,2.2,0.0,0.15,0.06,1.48,0.24,0.0,1.48,0.0
9183,Mühldorf a.Inn,798.2,2.66,1.26,0.0,0.0,0.29,4.24,0.23,0.38,0.05,0.08,0.04,0.07,0.05,0.0,66.47,23.02,0.06,0.0,0.02,0.02,0.01,0.92,0.0,0.11,0.0
9184,München,594.2,7.87,3.24,0.01,0.0,0.29,2.02,1.31,2.19,0.17,0.57,0.17,0.08,0.22,0.0,33.71,45.35,0.41,0.67,0.12,0.0,0.18,0.42,0.0,1.02,0.0
9185,Neuburg-Schrobenhausen,739.7,2.76,1.41,0.0,0.0,0.3,3.56,0.31,0.63,0.05,0.02,0.02,0.04,0.28,0.0,64.93,23.33,0.51,0.1,0.02,0.11,0.01,0.72,0.0,0.89,0.0
9186,Pfaffenhofen a.d.Ilm,761.0,3.25,1.53,0.0,0.0,0.21,3.86,0.27,0.52,0.05,0.17,0.09,0.06,0.82,0.0,62.37,24.77,0.25,0.0,0.01,0.0,0.33,0.36,0.0,1.07,0.0
9187,Rosenheim,1429.1,3.23,1.03,0.0,0.0,0.19,3.91,0.27,0.59,0.05,0.1,0.07,0.03,0.01,0.0,49.72,36.33,0.86,0.0,1.0,0.06,0.25,0.89,0.0,1.4,0.0
9188,Starnberg,430.8,6.84,0.97,0.0,0.0,0.3,2.08,0.74,1.23,0.1,0.15,0.1,0.06,0.42,0.0,34.53,37.57,0.26,0.0,1.15,0.31,0.01,0.07,0.0,13.11,0.0
9189,Traunstein,1447.0,2.06,0.79,0.0,0.0,0.21,3.32,0.13,0.55,0.04,0.03,0.04,0.02,0.01,0.0,45.11,38.96,0.39,0.0,1.01,0.03,1.09,0.43,0.0,5.78,0.0
9190,Weilheim-Schongau,966.3,2.76,0.98,0.0,0.0,0.2,2.53,0.26,0.76,0.04,0.05,0.03,0.03,0.03,0.0,53.78,32.87,0.6,0.0,2.97,0.28,0.07,0.74,0.0,1.01,0.0
9261,Landshut,65.8,17.47,4.91,0.0,0.0,0.03,3.22,2.31,2.68,0.26,0.26,0.53,0.44,0.44,0.0,45.32,19.69,0.14,0.0,0.0,0.0,0.02,1.56,0.0,0.71,0.0
9262,Passau,69.6,13.95,5.09,0.0,0.0,0.0,4.07,1.56,0.93,0.2,0.49,0.32,0.65,0.0,0.29,30.42,34.88,0.82,0.0,0.0,0.0,0.04,6.09,0.09,0.13,0.0
9263,Straubing,67.6,8.79,7.63,0.0,0.0,0.0,5.9,1.72,2.31,0.18,0.22,0.31,0.15,0.0,0.33,65.83,1.12,0.44,0.0,0.0,0.12,0.37,3.27,0.07,1.26,0.0
9271,Deggendorf,861.2,2.88,1.62,0.01,0.0,0.21,4.16,0.26,0.39,0.05,0.13,0.07,0.04,0.01,0.01,58.35,29.44,0.21,0.0,0.03,0.07,0.02,1.3,0.0,0.75,0.0
9272,Freyung-Grafenau,827.7,1.99,0.71,0.0,0.0,0.04,3.25,0.15,0.76,0.03,0.01,0.03,0.0,0.0,0.0,34.19,58.16,0.06,0.0,0.13,0.0,0.14,0.22,0.0,0.12,0.0
9273,Kelheim,976.5,2.45,1.41,0.0,0.0,0.29,2.89,0.21,0.38,0.05,0.12,0.05,0.02,0.0,0.05,51.01,39.72,0.17,0.0,0.04,0.01,0.15,0.72,0.01,0.27,0.0
9274,Landshut,1347.6,2.56,1.1,0.0,0.0,0.29,3.95,0.14,0.35,0.04,0.1,0.03,0.02,0.0,0.0,67.48,23.18,0.1,0.0,0.01,0.01,0.03,0.2,0.0,0.42,0.0
9275,Passau,1530.1,3.17,1.3,0.01,0.01,0.32,4.46,0.19,0.74,0.05,0.07,0.06,0.02,0.02,0.0,58.33,29.6,0.16,0.0,0.01,0.04,0.01,1.1,0.0,0.35,0.0
9276,Regen,974.8,2.02,0.67,0.0,0.0,0.07,2.75,0.17,0.47,0.03,0.02,0.04,0.03,0.01,0.0,27.79,65.32,0.03,0.0,0.03,0.0,0.03,0.32,0.0,0.21,0.0
9277,Rottal-Inn,1281.2,2.06,0.87,0.0,0.0,0.11,4.78,0.12,0.37,0.04,0.03,0.03,0.01,0.05,0.0,64.5,26.03,0.09,0.0,0.01,0.03,0.03,0.62,0.0,0.21,0.0
9278,Straubing-Bogen,1201.6,1.8,0.93,0.0,0.0,0.14,3.91,0.27,0.37,0.04,0.08,0.03,0.01,0.1,0.0,63.22,27.46,0.19,0.0,0.01,0.02,0.07,0.77,0.0,0.57,0.0
9279,Dingolfing-Landau,877.6,2.53,1.64,0.0,0.0,0.28,4.14,0.13,0.41,0.04,0.11,0.05,0.02,0.01,0.0,67.14,21.88,0.21,0.0,0.03,0.02,0.05,0.69,0.0,0.65,0.0
9361,Amberg,50.1,14.61,7.81,0.0,0.0,0.04,4.36,2.57,2.45,0.28,0.3,0.26,0.12,0.38,0.0,45.36,20.63,0.34,0.0,0.0,0.0,0.04,0.22,0.0,0.26,0.0
9362,Regensburg,80.9,18.39,13.7,0.11,0.0,1.22,6.47,4.32,5.84,0.41,1.16,0.64,1.0,0.0,1.55,34.45,6.49,0.32,0.0,0.0,0.0,0.92,2.59,0.25,0.24,0.0
9363,Weiden i.d.OPf.,70.6,10.63,6.49,0.0,0.0,0.1,3.5,2.22,2.3,0.23,0.48,0.28,0.27,0.1,0.0,39.43,32.2,0.28,0.0,0.0,0.0,0.81,0.41,0.0,0.31,0.0
9371,Amberg-Sulzbach,1253.1,2.01,0.8,0.03,0.0,0.38,2.39,0.5,0.33,0.03,0.09,0.03,0.02,0.03,0.0,43.95,48.33,0.24,0.0,0.01,0.01,0.15,0.1,0.0,0.57,0.0
9372,Cham,1526.8,1.95,0.81,0.0,0.0,0.06,3.7,0.2,0.38,0.03,0.06,0.02,0.02,0.01,0.0,47.06,44.54,0.13,0.0,0.02,0.01,0.12,0.34,0.0,0.53,0.0
9373,Neumarkt i.d.OPf.,1344.0,2.02,1.08,0.0,0.0,0.22,2.78,0.33,0.5,0.03,0.08,0.05,0.02,0.05,0.02,49.14,37.56,0.53,0.02,0.01,0.01,5.11,0.24,0.0,0.19,0.0
9374,Neustadt a.d.Waldnaab,1379.9,1.75,0.83,0.01,0.0,0.16,2.06,0.54,0.29,0.03,0.08,0.03,0.02,0.03,0.0,39.18,47.45,0.35,0.0,0.11,0.02,5.76,0.17,0.0,1.13,0.0
9375,Regensburg,1359.7,3.07,0.99,0.0,0.0,0.15,2.9,0.28,0.42,0.04,0.16,0.03,0.03,0.03,0.0,55.42,34.75,0.25,0.0,0.01,0.01,0.03,0.96,0.0,0.47,0.0
9376,Schwandorf,1451.8,2.7,1.35,0.04,0.0,0.24,2.47,0.24,0.38,0.04,0.15,0.05,0.05,0.01,0.0,44.41,44.94,0.24,0.01,0.09,0.02,0.11,0.47,0.0,2.0,0.0
9377,Tirschenreuth,1084.3,1.61,0.86,0.01,0.0,0.15,2.44,0.17,0.37,0.03,0.05,0.02,0.02,0.01,0.0,44.85,47.7,0.19,0.0,0.0,0.01,0.04,0.11,0.0,1.36,0.0
9461,Bamberg,54.6,14.88,9.81,0.0,0.0,0.0,5.13,7.85,5.82,0.35,0.77,0.22,0.53,1.37,0.38,19.92,27.19,3.06,0.0,0.0,0.0,0.15,2.09,0.33,0.16,0.0
9462,Bayreuth,66.9,13.81,6.08,0.0,0.0,0.04,7.37,4.23,6.38,0.28,0.51,0.45,0.16,0.0,0.0,39.66,20.13,0.22,0.0,0.0,0.0,0.01,0.3,0.0,0.34,0.0
9463,Coburg,48.3,16.47,6.91,0.0,0.0,0.0,5.87,2.57,3.84,0.25,0.73,0.25,0.41,0.6,0.0,36.24,22.32,1.12,0.0,0.0,0.35,0.44,0.19,0.0,1.43,0.0
9464,Hof,58.0,13.68,7.73,0.09,0.0,0.0,4.79,2.14,3.24,0.22,0.21,0.36,0.78,0.74,0.0,49.23,14.04,0.72,0.0,0.0,0.0,0.03,0.47,0.0,1.53,0.0
9471,Bamberg,1079.6,2.57,1.01,0.0,0.0,0.12,2.69,0.17,0.63,0.05,0.15,0.04,0.03,0.01,0.0,50.05,40.67,0.54,0.0,0.0,0.04,0.1,0.39,0.0,0.76,0.0
9472,Bayreuth,1102.0,1.73,0.65,0.01,0.0,0.14,3.03,0.12,0.45,0.03,0.1,0.04,0.02,0.05,0.0,45.44,47.52,0.29,0.0,0.0,0.02,0.07,0.07,0.0,0.22,0.0
9473,Coburg,584.4,3.35,1.64,0.02,0.0,0.06,3.15,0.22,0.7,0.08,0.12,0.03,0.02,0.01,0.0,57.44,32.0,0.43,0.0,0.01,0.02,0.32,0.11,0.0,0.26,0.0
9474,Forchheim,642.8,3.85,1.21,0.01,0.0,0.24,3.24,0.27,0.75,0.13,0.05,0.03,0.02,0.06,0.01,50.03,38.93,0.36,0.0,0.0,0.01,0.02,0.34,0.0,0.45,0.0
9475,Hof,854.9,2.79,1.27,0.0,0.0,0.17,3.02,0.2,0.5,0.05,0.2,0.07,0.05,0.02,0.0,54.27,36.12,0.5,0.0,0.01,0.01,0.06,0.15,0.0,0.52,0.0
9476,Kronach,630.6,2.01,1.05,0.01,0.0,0.09,2.87,0.16,0.45,0.04,0.01,0.03,0.04,0.01,0.0,31.9,60.15,0.48,0.0,0.0,0.0,0.21,0.19,0.0,0.29,0.0
9477,Kulmbach,658.3,2.36,1.38,0.02,0.0,0.26,3.45,0.18,0.45,0.05,0.13,0.05,0.05,0.03,0.0,53.16,37.36,0.5,0.01,0.0,0.01,0.1,0.18,0.0,0.26,0.0
9478,Lichtenfels,512.5,2.69,1.44,0.0,0.0,0.27,2.9,0.28,0.47,0.06,0.13,0.04,0.09,0.03,0.0,50.54,38.63,0.73,0.0,0.01,0.06,0.24,0.43,0.0,0.98,0.0
9479,Wunsiedel i.Fichtelgebirge,529.4,2.78,1.41,0.0,0.0,0.09,2.83,0.27,0.54,0.04,0.15,0.05,0.09,0.01,0.0,43.55,46.58,0.43,0.0,0.07,0.01,0.09,0.13,0.0,0.87,0.0
9561,Ansbach,99.9,5.67,3.61,0.0,0.0,0.08,4.88,3.42,1.03,0.1,0.41,0.24,0.14,0.66,0.0,49.45,29.31,0.57,0.0,0.0,0.04,0.0,0.04,0.0,0.34,0.0
9562,Erlangen,77.0,18.08,6.55,0.0,0.0,0.0,4.18,3.09,2.74,0.32,1.55,0.52,0.1,0.0,0.08,36.86,22.68,0.31,0.0,0.0,0.0,0.0,1.26,0.0,1.7,0.0
9563,Fürth,63.4,20.59,9.87,0.0,0.0,0.0,5.21,1.47,4.71,0.51,0.71,0.16,0.49,0.0,0.21,41.77,11.72,0.76,0.0,0.0,0.03,0.0,1.64,0.0,0.14,0.0
9564,Nürnberg,186.5,25.66,13.38,0.0,0.0,0.04,3.27,3.12,7.04,0.8,0.95,0.57,1.96,1.38,0.39,21.78,17.18,0.71,0.0,0.0,0.0,0.1,0.83,0.11,0.73,0.0
9565,Schwabach,40.8,16.42,6.42,0.0,0.0,0.51,4.63,1.05,1.64,0.39,0.69,0.15,0.15,0.0,0.0,38.18,28.94,0.42,0.0,0.0,0.0,0.0,0.34,0.0,0.17,0.0
9571,Ansbach,1969.5,1.88,1.24,0.01,0.0,0.08,3.26,0.22,0.46,0.04,0.12,0.06,0.02,0.02,0.0,62.37,28.75,0.6,0.09,0.02,0.06,0.01,0.16,0.0,0.54,0.0
9572,Erlangen-Höchstadt,461.9,5.12,1.65,0.0,0.0,0.06,2.46,0.31,0.8,0.09,0.23,0.08,0.01,0.02,0.0,42.96,42.86,0.21,0.0,0.01,0.02,0.1,0.23,0.0,2.8,0.0
9573,Fürth,307.4,7.34,2.12,0.0,0.0,0.09,3.4,0.28,1.08,0.12,0.1,0.05,0.06,0.02,0.0,58.55,25.86,0.23,0.0,0.0,0.0,0.01,0.12,0.0,0.55,0.0
9574,Nürnberger Land,671.4,4.18,1.41,0.0,0.0,0.29,2.89,0.31,0.66,0.07,0.31,0.07,0.05,0.02,0.0,36.53,52.26,0.37,0.0,0.0,0.0,0.06,0.21,0.0,0.3,0.0
9575,Neustadt a.d.Aisch-Bad Windsheim,1264.7,1.63,1.14,0.0,0.0,0.09,2.64,0.24,0.39,0.04,0.02,0.03,0.02,0.11,0.0,63.17,29.52,0.36,0.0,0.0,0.0,0.11,0.06,0.0,0.42,0.0
9576,Roth,871.9,2.79,1.45,0.0,0.0,0.23,2.75,0.44,0.51,0.05,0.24,0.08,0.01,0.16,0.02,43.67,45.86,0.51,0.01,0.01,0.03,0.01,0.3,0.0,0.86,0.0
9577,Weißenburg-Gunzenhausen,970.8,1.84,1.09,0.04,0.0,0.46,3.05,0.16,0.52,0.06,0.03,0.06,0.05,0.01,0.0,55.43,34.2,0.49,0.42,0.06,0.11,0.02,0.16,0.0,1.72,0.0
9661,Aschaffenburg,62.5,10.95,8.24,0.0,0.0,0.08,6.17,2.07,6.41,0.51,0.34,0.35,0.82,0.08,0.58,28.95,30.53,1.39,0.0,0.0,0.0,0.14,2.07,0.19,0.14,0.0
9662,Schweinfurt,35.7,17.02,14.66,0.0,0.0,0.22,5.19,4.37,7.79,0.48,1.26,0.64,0.64,0.0,0.64,26.91,15.39,0.93,0.0,0.0,0.0,0.36,1.91,0.11,1.46,0.0
9663,Würzburg,87.6,17.68,8.04,0.02,0.0,0.0,4.33,4.51,6.09,0.46,0.79,0.62,0.97,0.21,0.32,31.62,16.98,4.09,0.0,0.0,0.0,2.08,0.99,0.16,0.07,0.0
9671,Aschaffenburg,494.7,4.28,2.04,0.0,0.0,0.15,2.81,0.28,0.92,0.1,0.26,0.08,0.03,0.03,0.01,28.88,58.17,0.78,0.0,0.02,0.0,0.34,0.27,0.0,0.52,0.0
9672,Bad Kissingen,1014.2,2.02,0.84,0.0,0.0,0.09,1.96,0.63,0.7,0.06,0.09,0.05,0.01,0.03,0.0,40.13,48.86,1.39,0.01,0.0,0.02,2.9,0.13,0.0,0.09,0.0
9673,Rhön-Grabfeld,942.3,1.76,0.9,0.0,0.0,0.12,1.98,0.2,0.53,0.05,0.06,0.05,0.01,0.03,0.0,53.55,38.03,1.14,1.09,0.13,0.01,0.2,0.08,0.0,0.1,0.0
9674,Haßberge,956.2,1.81,1.25,0.02,0.0,0.12,2.37,0.19,0.5,0.06,0.06,0.04,0.01,0.04,0.02,50.55,41.28,0.59,0.0,0.0,0.03,0.09,0.37,0.0,0.59,0.0
9675,Kitzingen,684.2,2.27,2.1,0.03,0.0,0.1,3.01,0.35,0.97,0.12,0.26,0.11,0.04,0.09,0.02,66.06,22.15,0.85,0.0,0.0,0.02,0.22,0.71,0.0,0.52,0.0
9676,Miltenberg,706.7,3.16,1.64,0.0,0.0,0.15,2.42,0.24,0.97,0.07,0.08,0.03,0.04,0.01,0.01,29.28,59.69,0.96,0.0,0.03,0.0,0.16,0.83,0.0,0.23,0.0
9677,Main-Spessart,1154.0,1.89,1.09,0.01,0.0,0.24,1.86,0.18,0.49,0.05,0.03,0.04,0.05,0.02,0.02,36.34,55.51,1.1,0.02,0.0,0.01,0.23,0.74,0.0,0.1,0.0
9678,Schweinfurt,806.1,2.76,1.28,0.02,0.0,0.07,2.43,0.23,0.85,0.07,0.16,0.03,0.01,0.02,0.0,64.11,26.32,0.57,0.29,0.0,0.02,0.04,0.18,0.0,0.55,0.0
9679,Würzburg,913.2,3.0,1.4,0.01,0.0,0.39,2.52,0.23,0.66,0.07,0.22,0.06,0.04,0.17,0.01,66.97,22.41,1.28,0.01,0.0,0.0,0.08,0.36,0.0,0.09,0.0
9761,Augsburg,146.9,16.97,8.96,0.02,0.0,0.01,4.68,2.56,6.52,0.59,0.62,0.45,0.63,0.16,0.0,29.2,26.0,0.35,0.0,0.01,0.0,0.06,1.71,0.0,0.48,0.0
9762,Kaufbeuren,40.0,15.04,6.96,0.0,0.0,0.5,4.42,3.59,1.42,0.45,0.22,0.3,0.12,3.59,0.0,35.64,25.39,0.37,0.0,0.0,0.05,0.1,0.62,0.0,1.17,0.0
9763,Kempten (Allgäu),63.3,11.12,6.29,0.0,0.0,0.0,5.9,2.29,2.78,0.3,0.77,0.16,0.49,0.0,0.0,55.28,12.65,0.05,0.0,0.22,0.16,0.0,1.14,0.0,0.41,0.0
9764,Memmingen,70.1,8.97,6.41,0.0,0.0,0.34,4.48,1.16,1.38,0.26,0.43,0.11,0.09,0.0,0.0,50.66,25.03,0.19,0.0,0.0,0.0,0.0,0.41,0.0,0.1,0.0
9771,Aichach-Friedberg,780.3,3.56,1.47,0.0,0.0,0.2,3.2,0.22,0.49,0.05,0.11,0.06,0.04,0.11,0.0,63.74,25.57,0.35,0.0,0.01,0.01,0.01,0.21,0.0,0.58,0.0
9772,Augsburg,1067.3,4.95,2.09,0.01,0.0,0.21,3.05,0.57,0.77,0.08,0.19,0.06,0.04,0.42,0.0,52.14,33.71,0.31,0.02,0.04,0.02,0.65,0.38,0.0,0.29,0.0
9773,Dillingen a.d.Donau,792.2,2.82,1.54,0.01,0.0,0.22,3.33,0.24,0.43,0.06,0.04,0.03,0.03,0.01,0.0,64.93,22.87,0.36,0.08,0.22,0.26,0.09,0.63,0.0,1.81,0.0
9774,Günzburg,759.2,3.48,2.09,0.0,0.0,0.22,3.52,0.33,0.59,0.07,0.08,0.09,0.05,0.02,0.0,57.71,29.52,0.23,0.0,0.28,0.04,0.01,0.5,0.0,1.17,0.0
9775,Neu-Ulm,471.0,5.87,3.0,0.0,0.0,0.13,3.43,0.41,1.07,0.11,0.34,0.1,0.06,0.06,0.0,53.15,29.84,0.43,0.0,0.02,0.02,0.02,0.7,0.0,1.24,0.0
14511,Chemnitz,221.1,15.95,7.17,0.0,0.0,0.04,7.59,1.7,6.74,0.38,1.06,0.54,0.66,0.0,0.0,37.77,16.96,1.51,0.13,0.0,0.0,1.31,0.15,0.0,0.37,0.0
9776,Lindau (Bodensee),323.4,3.68,1.25,0.0,0.0,0.09,4.64,0.33,1.06,0.1,0.09,0.05,0.12,0.01,0.0,60.09,27.17,0.16,0.0,0.61,0.14,0.01,0.16,0.0,0.23,0.0
9777,Ostallgäu,1394.5,1.85,0.85,0.0,0.0,0.19,2.59,0.18,0.41,0.04,0.05,0.03,0.02,0.02,0.0,57.7,30.37,1.32,0.0,1.22,0.24,0.72,0.19,0.0,1.97,0.0
9778,Unterallgäu,1226.3,2.22,1.32,0.0,0.0,0.36,3.46,0.24,0.5,0.04,0.11,0.05,0.02,0.13,0.0,64.74,25.73,0.14,0.0,0.03,0.01,0.01,0.41,0.0,0.47,0.0
9779,Donau-Ries,1253.6,2.34,1.52,0.02,0.0,0.19,3.05,0.17,0.55,0.04,0.07,0.03,0.05,0.03,0.0,63.21,26.23,0.47,0.46,0.05,0.27,0.01,0.59,0.0,0.65,0.0
9780,Oberallgäu,1516.0,1.54,0.51,0.0,0.0,0.08,2.22,0.15,0.48,0.03,0.1,0.05,0.02,0.03,0.0,51.02,35.27,2.91,0.0,0.47,0.07,3.96,0.38,0.0,0.71,0.0
10041,Regionalverband Saarbrücken,411.0,15.19,5.17,0.56,0.28,0.14,1.69,1.45,2.18,0.62,0.55,0.29,0.49,0.28,0.02,19.62,44.28,5.36,0.0,0.0,0.0,1.28,0.34,0.01,0.21,0.0
10042,Landkreis Merzig-Wadern,556.7,7.07,1.4,0.01,0.0,0.21,0.7,0.5,0.94,0.12,0.28,0.07,0.06,0.0,0.02,39.54,41.72,4.47,0.0,0.0,0.0,2.09,0.38,0.01,0.4,0.0
10043,Landkreis Neunkirchen,249.8,15.06,3.64,0.34,0.01,0.04,1.09,0.95,1.49,0.44,0.3,0.16,0.29,0.0,0.0,34.44,32.23,7.21,0.0,0.0,0.01,1.89,0.02,0.0,0.4,0.0
10044,Landkreis Saarlouis,459.4,12.33,4.2,0.31,0.1,0.37,1.05,0.79,1.37,0.24,0.34,0.12,0.2,0.06,0.08,41.04,28.69,6.08,0.0,0.0,0.09,1.49,0.56,0.02,0.48,0.0
10045,Saarpfalz-Kreis,418.3,10.04,3.37,0.03,0.0,0.15,1.1,0.78,1.35,0.23,0.29,0.12,0.13,0.02,0.0,38.37,35.92,5.59,0.0,0.0,0.03,2.11,0.15,0.0,0.24,0.0
10046,Landkreis St. Wendel,476.1,7.31,1.35,0.0,0.0,0.22,0.78,0.44,1.13,0.14,0.21,0.11,0.04,0.05,0.0,42.21,38.51,5.58,0.0,0.01,0.05,1.35,0.0,0.0,0.51,0.0
11000,Berlin,891.1,33.06,8.67,0.0,0.0,0.01,2.67,5.63,13.56,1.3,1.15,0.74,1.88,0.5,0.07,3.7,17.76,1.38,0.0,0.11,0.05,1.7,3.36,0.04,2.64,0.0
12051,Brandenburg an der Havel,229.7,5.41,5.66,0.13,0.0,0.0,2.52,1.02,3.08,0.17,0.22,0.21,0.27,0.37,0.03,25.73,30.8,3.03,0.1,0.01,2.37,3.26,2.48,0.01,13.13,0.0
12052,Cottbus,165.6,9.68,6.12,0.0,0.0,0.13,4.82,1.55,4.31,0.4,0.38,0.41,0.61,0.0,0.0,28.89,22.79,2.94,0.76,0.0,0.01,15.0,0.46,0.0,0.72,0.0
12053,Frankfurt (Oder),147.9,7.39,4.81,0.0,0.0,0.24,1.41,0.94,3.48,0.24,0.57,0.47,0.34,0.02,0.03,42.48,28.74,1.75,0.0,0.0,0.25,3.5,1.11,0.04,2.17,0.0
12054,Potsdam,188.3,9.64,3.4,0.03,0.0,0.18,4.95,3.12,6.02,0.35,0.47,0.3,0.4,0.0,0.01,28.65,26.43,2.32,0.93,0.0,1.65,1.34,1.6,0.0,8.22,0.0
12060,Barnim,1479.6,4.95,1.74,0.01,0.0,0.14,0.95,0.33,1.15,0.11,0.15,0.05,0.06,0.3,0.01,33.85,48.55,0.81,0.37,0.0,0.78,1.7,0.34,0.0,3.62,0.0
12061,Dahme-Spreewald,2274.5,3.01,1.23,0.0,0.0,0.1,1.51,0.14,0.85,0.06,0.15,0.06,0.06,0.67,0.02,37.34,47.62,0.89,0.53,0.01,0.68,1.54,0.2,0.0,3.31,0.0
12062,Elbe-Elster,1899.6,1.49,1.36,0.01,0.0,0.22,2.78,0.2,0.46,0.06,0.03,0.01,0.13,0.36,0.0,51.15,37.67,0.93,0.6,0.0,0.06,1.27,0.14,0.0,1.05,0.0
12063,Havelland,1727.3,3.47,1.49,0.02,0.0,0.06,1.33,0.18,0.73,0.07,0.11,0.04,0.15,0.06,0.01,57.69,28.58,0.97,0.76,0.0,0.82,1.55,0.65,0.0,1.26,0.0
12064,Märkisch-Oderland,2158.7,4.17,1.57,0.01,0.0,0.21,1.15,0.28,0.79,0.08,0.07,0.04,0.07,0.24,0.0,60.73,25.19,1.23,0.14,0.02,0.34,1.62,0.63,0.0,1.4,0.0
12065,Oberhavel,1808.2,4.54,1.32,0.01,0.0,0.09,1.11,0.22,0.73,0.07,0.14,0.05,0.09,0.02,0.01,42.0,43.17,0.91,0.24,0.14,0.59,1.81,0.37,0.0,2.39,0.0
12066,Oberspreewald-Lausitz,1223.1,2.54,1.79,0.02,0.0,0.43,2.41,0.17,1.46,0.1,0.22,0.12,0.17,0.25,0.0,33.16,43.58,3.38,0.21,0.0,0.33,3.84,0.09,0.0,5.76,0.0
