ags5,kreis,municipal dept per capita,municipal tax per capita,municipal tax per capita
8222,Mannheim,1618.5,1176.7,135.9
8225,Neckar-Odenwald-Kreis,996.3,856.3,50.2
8226,Rhein-Neckar-Kreis,646.2,1231.7,58.4
8231,Pforzheim,1133.9,895.1,92.2
8235,Calw,1145.8,869.9,45.0
8236,Enzkreis,425.8,989.2,50.9
8237,Freudenstadt,411.6,1088.2,66.5
8311,Freiburg im Breisgau,727.1,1024.6,84.7
8315,Breisgau-Hochschwarzwald,641.5,902.6,45.4
8316,Emmendingen,568.7,889.9,45.2
8317,Ortenaukreis,332.7,999.3,69.9
8325,Rottweil,153.7,1199.4,71.0
8326,Schwarzwald-Baar-Kreis,409.7,987.8,67.8
8327,Tuttlingen,649.6,1195.1,78.7
8335,Konstanz,339.0,1005.2,56.7
8336,Lörrach,463.7,1058.7,59.6
8337,Waldshut,579.6,965.8,55.9
8415,Reutlingen,713.7,1078.8,69.7
8416,Tübingen,552.7,904.8,49.5
8417,Zollernalbkreis,613.2,1002.6,64.0
8421,Ulm,881.9,1356.7,130.1
8425,Alb-Donau-Kreis,305.3,1024.1,53.4
8426,Biberach,209.9,1313.0,74.9
8435,Bodenseekreis,454.8,1131.3,68.9
8436,Ravensburg,529.8,967.3,62.4
8437,Sigmaringen,280.4,880.1,55.8
9161,Ingolstadt,74.9,1056.0,137.1
9162,München,498.0,1621.4,150.8
9163,Rosenheim,1307.4,1029.3,100.6
9171,Altötting,1049.9,1482.2,84.2
9172,Berchtesgadener Land,1016.9,855.0,51.8
9173,Bad Tölz-Wolfratshausen,767.6,1008.1,44.3
9174,Dachau,535.1,1100.1,39.6
9175,Ebersberg,953.5,1148.9,39.7
9176,Eichstätt,266.7,1005.8,41.3
9177,Erding,522.4,1230.1,44.0
9178,Freising,852.7,1297.8,75.4
9179,Fürstenfeldbruck,800.4,1094.3,36.9
9180,Garmisch-Partenkirchen,967.8,918.2,47.5
9181,Landsberg am Lech,1319.8,1104.5,41.9
9182,Miesbach,2053.3,1166.3,57.0
9183,Mühldorf a.Inn,1121.7,947.4,53.2
9184,München,551.0,2454.2,137.9
9185,Neuburg-Schrobenhausen,799.1,934.0,51.1
9186,Pfaffenhofen a.d.Ilm,369.4,1133.5,46.6
9187,Rosenheim,893.3,952.8,46.8
9188,Starnberg,412.1,1467.2,64.1
9189,Traunstein,778.0,1035.7,61.8
9190,Weilheim-Schongau,501.3,1130.6,56.1
9261,Landshut,1884.1,1089.0,85.6
9262,Passau,2796.7,1049.1,117.5
9263,Straubing,1926.7,995.4,104.2
9271,Deggendorf,970.8,845.7,59.0
9272,Freyung-Grafenau,1421.2,697.2,40.1
9273,Kelheim,440.4,917.5,50.6
9274,Landshut,465.8,1043.1,49.7
9275,Passau,1098.4,811.4,43.7
9276,Regen,1373.5,754.7,51.7
9277,Rottal-Inn,1356.9,874.4,50.3
9278,Straubing-Bogen,433.3,863.5,33.5
9279,Dingolfing-Landau,535.8,1504.4,94.9
9361,Amberg,673.3,1042.9,90.2
9362,Regensburg,880.6,1472.8,146.0
9363,Weiden i.d.OPf.,1513.2,957.4,101.8
9371,Amberg-Sulzbach,1412.0,797.2,42.3
9372,Cham,1141.0,832.5,52.8
9373,Neumarkt i.d.OPf.,222.2,945.8,49.5
9374,Neustadt a.d.Waldnaab,639.5,867.3,43.1
9375,Regensburg,429.1,900.7,31.3
9376,Schwandorf,1089.8,896.5,54.5
9377,Tirschenreuth,1331.9,851.7,48.9
9461,Bamberg,223.9,1085.1,115.2
9462,Bayreuth,1463.5,1384.9,104.5
9463,Coburg,431.7,1905.5,172.6
9464,Hof,1779.8,844.4,86.2
9471,Bamberg,517.4,912.7,37.4
9472,Bayreuth,1722.1,771.2,35.7
9473,Coburg,1094.8,816.4,59.9
9474,Forchheim,867.2,887.4,35.3
9475,Hof,1036.9,860.2,58.7
9476,Kronach,1435.1,821.8,62.0
9477,Kulmbach,1040.1,904.2,63.6
9478,Lichtenfels,1691.8,870.5,69.5
9479,Wunsiedel i.Fichtelgebirge,2732.0,802.8,62.3
9561,Ansbach,627.5,980.7,94.8
9562,Erlangen,1389.1,1349.5,151.3
9563,Fürth,1765.4,960.2,72.4
9564,Nürnberg,2727.0,1145.2,128.3
9565,Schwabach,1219.4,1090.5,67.4
9571,Ansbach,938.5,858.3,50.8
9572,Erlangen-Höchstadt,688.4,1216.2,54.5
9573,Fürth,918.8,938.1,32.8
9574,Nürnberger Land,832.0,1033.4,51.4
9575,Neustadt a.d.Aisch-Bad Windsheim,675.2,829.0,46.9
9576,Roth,453.7,935.5,43.3
9577,Weißenburg-Gunzenhausen,638.5,808.1,48.3
9661,Aschaffenburg,908.5,1185.4,120.4
9662,Schweinfurt,436.9,1388.7,179.0
9663,Würzburg,1787.8,1095.6,118.6
9671,Aschaffenburg,639.0,1108.1,51.6
9672,Bad Kissingen,738.9,782.2,46.5
9673,Rhön-Grabfeld,1006.8,772.8,58.1
9674,Haßberge,903.5,830.2,49.1
9675,Kitzingen,554.0,1003.9,56.4
9676,Miltenberg,920.9,912.6,51.9
9677,Main-Spessart,865.2,981.2,59.9
9678,Schweinfurt,483.8,843.5,32.6
9679,Würzburg,639.9,901.0,37.6
