,ags2,ags5,kreis,number_of_students
105,05,05913,Dortmund,60631
106,05,05914,Hagen,21682
107,05,05915,Hamm,19905
108,05,05916,Herne,16670
109,05,05954,Ennepe-Ruhr-Kreis,31493
110,05,05958,Hochsauerlandkreis,27369
111,05,05962,Märkischer Kreis,43631
112,05,05966,Olpe,15682
113,05,05970,Siegen-Wittgenstein,29910
114,05,05974,Soest,34606
115,05,05978,Unna,42080
116,06,06411,Kreisfreie Stadt Darmstadt,18634
117,06,06412,Kreisfreie Stadt Frankfurt am Main,72295
118,06,06413,Kreisfreie Stadt Offenbach am Main,14412
119,06,06414,Landeshauptstadt Wiesbaden,31140
120,06,06431,Bergstraße,25853
121,06,06432,Darmstadt-Dieburg,29163
122,06,06433,Groß-Gerau,27740
123,06,06434,Hochtaunus,27258
124,06,06435,Main-Kinzig,42029
125,06,06436,Main-Taunus,25543
126,06,06437,Odenwaldkreis,9488
127,06,06438,Offenbach,36229
128,06,06439,Rheingau-Taunus,18143
129,06,06440,Wetterau,32751
130,06,06531,Gießen,26834
131,06,06532,Lahn-Dill,24967
132,06,06533,Limburg-Weilburg,17821
133,06,06534,Marburg-Biedenkopf,24087
134,06,06535,Vogelsberg,9430
135,06,06611,Kreisfreie Stadt Kassel,20450
136,06,06631,Fulda,22534
137,06,06632,Hersfeld-Rotenburg,11602
138,06,06633,Kassel,21223
139,06,06634,Schwalm-Eder,18297
140,06,06635,Waldeck-Frankenberg,15662
141,06,06636,Werra-Meißner,9094
142,07,07111,Stadt Koblenz,12455
143,07,07131,Ahrweiler,12234
144,07,07132,Altenkirchen (Ww),12604
145,07,07133,Bad Kreuznach,16623
146,07,07134,Birkenfeld,6908
147,07,07135,Cochem-Zell,4964
148,07,07137,Mayen-Koblenz,20125
149,07,07138,Neuwied,19017
150,07,07140,Rhein-Hunsrück-Kreis,10378
151,07,07141,Rhein-Lahn-Kreis,12108
152,07,07143,Westerwaldkreis,19353
153,07,07211,Stadt Trier,11916
154,07,07231,Bernkastel-Wittlich,11155
155,07,07232,Eifelkreis Bitburg-Prüm,10195
156,07,07233,Vulkaneifel,5849
157,07,07235,Trier-Saarburg,13271
158,07,07311,Stadt Frankenthal (Pfalz),7252
159,07,07312,Stadt Kaiserslautern,11821
160,07,07313,Stadt Landau in der Pfalz,8148
161,07,07314,Stadt Ludwigshafen a. Rh.,18604
162,07,07315,Stadt Mainz,22437
163,07,07316,Stadt Neustadt a.d. W.,5124
164,07,07317,Stadt Pirmasens,4513
165,07,07318,Stadt Speyer,8053
166,07,07319,Stadt Worms,9031
167,07,07320,Stadt Zweibrücken,4187
168,07,07331,Alzey-Worms,13050
169,07,07332,Bad Dürkheim,11110
170,07,07333,Donnersbergkreis,8238
171,07,07334,Germersheim,12213
172,07,07335,Kaiserslautern,10075
173,07,07336,Kusel,5489
174,07,07337,Südliche Weinstraße,9784
175,07,07338,Rhein-Pfalz-Kreis,11090
176,07,07339,Mainz-Bingen,22307
177,07,07340,Südwestpfalz,6644
178,08,08111,Stuttgart,59213
179,08,08115,Böblingen,39762
180,08,08116,Esslingen,53355
181,08,08117,Göppingen,25431
182,08,08118,Ludwigsburg,56272
183,08,08119,Rems-Murr-Kreis,42358
184,08,08121,Heilbronn,15141
185,08,08125,Heilbronn,33042
186,08,08126,Hohenlohekreis,11359
187,08,08127,Schwäbisch Hall,20200
188,08,08128,Main-Tauber-Kreis,13245
189,08,08135,Heidenheim,13797
190,08,08136,Ostalbkreis,34337
191,08,08211,Baden-Baden,5543
192,08,08212,Karlsruhe,27391
193,08,08215,Karlsruhe,43222
194,08,08216,Rastatt,21574
195,08,08221,Heidelberg,15652
196,08,08222,Mannheim,30389
197,08,08225,Neckar-Odenwald-Kreis,14321
198,08,08226,Rhein-Neckar-Kreis,50487
199,08,08231,Pforzheim,14938
200,08,08235,Calw,15817
201,08,08236,Enzkreis,17281
202,08,08237,Freudenstadt,11637
203,08,08311,Freiburg im Breisgau,25270
204,08,08315,Breisgau-Hochschwarzwald,25594
205,08,08316,Emmendingen,15247
206,08,08317,Ortenaukreis,45196
207,08,08325,Rottweil,13874
208,08,08326,Schwarzwald-Baar-Kreis,21670
209,08,08327,Tuttlingen,15079
210,08,08335,Konstanz,28266
211,08,08336,Lörrach,24263
212,08,08337,Waldshut,18104
213,08,08415,Reutlingen,28691
214,08,08416,Tübingen,23488
215,08,08417,Zollernalbkreis,17907
216,08,08421,Ulm,15569
217,08,08425,Alb-Donau-Kreis,18466
218,08,08426,Biberach,21475
219,08,08435,Bodenseekreis,21625
220,08,08436,Ravensburg,33437
221,08,08437,Sigmaringen,13632
222,09,09161,Ingolstadt,15071
223,09,09162,München,128364
224,09,09163,Rosenheim,8465
225,09,09171,Altötting,11325
226,09,09172,Berchtesgadener Land,9542
227,09,09173,Bad Tölz-Wolfratshausen,13475
228,09,09174,Dachau,15890
229,09,09175,Ebersberg,16388
230,09,09176,Eichstätt,12967
231,09,09177,Erding,14092
232,09,09178,Freising,17024
233,09,09179,Fürstenfeldbruck,23295
234,09,09180,Garmisch-Partenkirchen,8400
235,09,09181,Landsberg am Lech,12907
236,09,09182,Miesbach,10175
237,09,09183,Mühldorf a.Inn,11103
238,09,09184,München,37997
239,09,09185,Neuburg-Schrobenhausen,9967
240,09,09186,Pfaffenhofen a.d.Ilm,11651
241,09,09187,Rosenheim,24194
242,09,09188,Starnberg,15732
243,09,09189,Traunstein,17152
244,09,09190,Weilheim-Schongau,13827
245,09,09261,Landshut,8533
246,09,09262,Passau,5699
247,09,09263,Straubing,7096
248,09,09271,Deggendorf,11277
249,09,09272,Freyung-Grafenau,6607
250,09,09273,Kelheim,12046
251,09,09274,Landshut,14587
252,09,09275,Passau,16408
253,09,09276,Regen,6860
254,09,09277,Rottal-Inn,11315
255,09,09278,Straubing-Bogen,7627
256,09,09279,Dingolfing-Landau,9049
257,09,09361,Amberg,6170
258,09,09362,Regensburg,17495
259,09,09363,Weiden i.d.OPf.,5620
