ags2,ags5,kreis,number_accomodation_establishments,number_of_beds,number_of_guests,guests_staying_overnight
8,8337,Waldshut,282,11684,386153,1319751
8,8415,Reutlingen,147,9707,437271,1177832
8,8416,Tübingen,72,3175,216422,434483
8,8417,Zollernalbkreis,82,3872,148339,348789
8,8421,Ulm,50,4153,442326,688782
8,8425,Alb-Donau-Kreis,104,5201,275874,547487
8,8426,Biberach,90,5889,252688,799272
8,8435,Bodenseekreis,430,26968,1108528,3311887
8,8436,Ravensburg,161,10651,479313,1947743
8,8437,Sigmaringen,98,6975,204441,620260
9,9161,Ingolstadt,46,3493,332813,560022
9,9162,München,446,77505,8265994,17124486
9,9163,Rosenheim,21,1236,143307,227469
9,9171,Altötting,59,2286,131731,288834
9,9172,Berchtesgadener Land,490,16780,772136,2962304
9,9173,Bad Tölz-Wolfratshausen,230,8243,398474,1222255
9,9174,Dachau,55,2465,150965,358043
9,9175,Ebersberg,58,2798,211292,438610
9,9176,Eichstätt,133,5455,458726,889480
9,9177,Erding,77,6684,878834,1315380
9,9178,Freising,82,5842,668169,1015029
9,9179,Fürstenfeldbruck,48,2122,140558,309734
9,9180,Garmisch-Partenkirchen,516,19220,1192002,3544760
9,9181,Landsberg am Lech,41,1660,121932,276697
9,9182,Miesbach,384,14594,751918,2326373
9,9183,Mühldorf a.Inn,45,1532,89035,190835
9,9184,München,162,14857,1316342,2473258
9,9185,Neuburg-Schrobenhausen,43,1225,68572,161455
9,9186,Pfaffenhofen a.d.Ilm,51,2155,155307,295912
9,9187,Rosenheim,345,14119,799895,2539836
9,9188,Starnberg,88,4925,300718,768275
9,9189,Traunstein,584,17568,762965,2961008
9,9190,Weilheim-Schongau,75,3339,178499,597874
9,9261,Landshut,22,1600,119580,235120
9,9262,Passau,42,3103,331264,573855
9,9263,Straubing,20,1046,83373,159663
9,9271,Deggendorf,71,2829,172345,417538
9,9272,Freyung-Grafenau,244,10694,320908,1410465
9,9273,Kelheim,121,5259,292810,923456
9,9274,Landshut,65,2261,115116,241380
9,9275,Passau,482,24445,843019,4300462
9,9276,Regen,439,15391,508498,2131080
9,9277,Rottal-Inn,97,4399,200631,921534
9,9278,Straubing-Bogen,108,4336,196569,646442
9,9279,Dingolfing-Landau,38,1305,65927,158316
9,9361,Amberg,11,605,43845,87954
9,9362,Regensburg,74,6125,626210,1100392
9,9363,Weiden i.d.OPf.,11,551,42833,78109
9,9371,Amberg-Sulzbach,79,2620,125848,305237
9,9372,Cham,274,13608,480059,1910761
9,9373,Neumarkt i.d.OPf.,75,3238,230342,430263
9,9374,Neustadt a.d.Waldnaab,98,2520,119539,270828
9,9375,Regensburg,77,2878,195118,429666
9,9376,Schwandorf,100,3115,148366,385997
9,9377,Tirschenreuth,104,3259,119294,395406
9,9461,Bamberg,57,3572,394333,708202
9,9462,Bayreuth,27,2139,191823,402209
9,9463,Coburg,17,966,72069,135618
9,9464,Hof,21,1163,88343,148554
9,9471,Bamberg,82,3237,217783,409397
9,9472,Bayreuth,179,5575,261223,758637
9,9473,Coburg,45,1911,80430,312768
9,9474,Forchheim,118,3605,159391,374689
9,9475,Hof,78,2738,127144,498315
9,9476,Kronach,44,1398,71000,180429
9,9477,Kulmbach,58,2007,116368,229864
9,9478,Lichtenfels,84,3587,194301,636558
9,9479,Wunsiedel i.Fichtelgebirge,60,2520,145363,378571
9,9561,Ansbach,15,634,40027,105364
9,9562,Erlangen,47,2963,258203,506917
9,9563,Fürth,23,1989,151887,322318
