ags2,ags5,kreis,number_of_hairdressers,number_of_restaurants,number_of_shops,number_of_companies,number_of_shopping_malls,number_of_clubs,number_of_education_places,number_of_shopping_places,number_of_free_time_places,number_of_tourism_places,number_of_tourism_places,number_of_food_and_drink_places,number_of_public_institution_places,number_of_traffic_places,number_of_health_places,number_of_business_places
05,05370,Heinsberg,311,366,712,14891,3,418,206,2075,239,40,40,318,110,249,785,2494
05,05374,Oberbergischer Kreis,259,280,702,16678,2,580,312,2105,240,120,120,330,139,250,989,2864
05,05378,Rheinisch-Bergischer Kreis,285,329,647,17900,1,543,266,2337,162,91,91,385,106,252,1182,3241
05,05382,Rhein-Sieg-Kreis,559,668,1412,34382,3,1238,591,4474,375,165,165,690,208,498,2071,6130
05,05512,Bottrop,108,148,253,5258,1,195,99,753,87,17,17,126,46,90,348,898
05,05513,Gelsenkirchen,205,263,551,10466,1,457,238,1562,155,23,23,271,101,180,707,1705
05,05515,Münster,247,432,738,19490,5,603,330,2006,203,78,78,410,114,180,1368,2602
05,05554,Borken,328,552,1099,23633,4,636,353,2913,380,141,141,554,130,420,1001,3391
05,05558,Coesfeld,200,249,610,13530,1,445,251,1646,177,86,86,299,80,293,710,2012
05,05562,Recklinghausen,461,743,1577,28679,8,1201,578,4091,429,94,94,658,203,494,1775,4536
05,05566,Steinfurt,399,651,1230,26345,3,783,476,3154,461,167,167,611,177,382,1314,3662
05,05570,Warendorf,237,344,769,16128,1,506,299,2080,228,96,96,302,89,244,850,2270
05,05711,Bielefeld,318,409,848,20321,2,740,348,2158,207,50,50,418,103,272,1201,3120
05,05754,Gütersloh,330,417,871,22631,0,574,362,2810,258,100,100,526,112,383,964,3383
05,05758,Herford,266,265,698,16552,0,961,253,2053,184,60,60,297,87,225,755,2591
05,05762,Höxter,138,194,447,8926,0,300,196,1158,237,133,133,246,97,129,476,1409
05,05766,Lippe,380,432,830,20816,0,530,362,2697,313,247,247,522,113,343,1169,3471
05,05770,Minden-Lübbecke,355,366,992,19813,8,479,333,2384,326,126,126,442,101,305,1012,3049
05,05774,Paderborn,308,407,793,18688,4,725,323,2090,342,114,114,431,130,273,874,2849
05,05911,Bochum,318,483,854,18296,7,680,329,2313,270,48,48,439,120,286,1218,2779
05,05913,Dortmund,419,714,1420,28456,8,1218,405,3593,386,79,79,604,183,426,1726,4542
05,05914,Hagen,183,209,510,9296,2,269,195,1211,73,23,23,195,57,155,615,1551
05,05915,Hamm,149,212,435,8405,2,772,150,1027,71,26,26,194,65,130,525,1201
05,05916,Herne,119,166,320,5950,1,251,130,887,104,10,10,141,49,100,420,972
05,05954,Ennepe-Ruhr-Kreis,332,397,788,18457,4,712,301,2404,158,72,72,427,106,282,1169,2879
05,05958,Hochsauerlandkreis,300,403,878,17641,2,672,298,2308,98,470,470,531,216,285,933,2612
05,05962,Märkischer Kreis,407,506,1108,23637,2,777,392,3042,195,117,117,527,182,381,1308,3811
05,05966,Olpe,133,186,385,8703,0,340,148,1067,159,131,131,203,82,147,411,1305
05,05970,Siegen-Wittgenstein,306,356,830,17051,2,654,364,2256,215,129,129,361,117,286,931,2632
05,05974,Soest,291,418,848,17797,8,664,333,2337,113,148,148,466,127,276,1007,2617
05,05978,Unna,358,438,1045,19696,1,773,389,2745,143,69,69,430,115,316,1267,3145
06,06411,Kreisfreie Stadt Darmstadt,142,305,405,11270,4,578,196,1272,101,44,44,283,65,139,805,1809
06,06412,Kreisfreie Stadt Frankfurt am Main,681,1424,1654,59405,9,2791,1111,5174,325,310,310,1286,289,484,3040,7267
06,06413,Kreisfreie Stadt Offenbach am Main,119,180,318,7522,2,315,117,882,41,31,31,137,41,97,431,1132
06,06414,Landeshauptstadt Wiesbaden,315,489,738,20241,4,853,311,2218,116,69,69,498,79,230,1260,3231
06,06431,Bergstraße,368,457,745,18235,4,536,272,2765,84,139,139,503,99,347,1020,3489
06,06432,Darmstadt-Dieburg,379,390,736,18070,1,572,283,2767,64,58,58,390,76,356,1049,3670
06,06433,Groß-Gerau,285,406,571,14094,3,435,246,2092,77,85,85,315,71,241,769,2787
06,06434,Hochtaunus,307,334,579,19866,6,621,259,2080,92,141,141,329,67,224,1214,2947
06,06435,Main-Kinzig,536,640,1104,27000,7,1089,421,3777,187,183,183,672,158,471,1326,4412
06,06436,Main-Taunus,283,320,557,17721,3,568,217,1859,65,92,92,304,56,190,863,2643
06,06437,Odenwaldkreis,91,151,280,6059,0,206,110,1062,34,89,89,186,28,114,325,1159
06,06438,Offenbach,426,486,835,24432,5,688,357,3093,104,93,93,446,98,316,1147,3847
06,06439,Rheingau-Taunus,243,326,406,12582,0,502,172,1523,41,138,138,472,65,170,688,2121
06,06440,Wetterau,400,438,786,20542,1,786,320,2867,111,112,112,478,110,361,1122,3346
06,06531,Gießen,313,397,729,17247,2,769,307,2226,308,75,75,413,167,319,1156,2696
06,06532,Lahn-Dill,342,359,691,16991,3,779,274,2254,324,88,88,398,112,297,913,2663
06,06533,Limburg-Weilburg,261,312,528,11879,1,402,152,1494,103,60,60,306,72,219,640,1953
