ags2,ags5,kreis,supermarkets_population,supermarkets_average_distance,public_transport availability,average_distance_bus_stop,average_distance_train_station,average_distance_public_transport
9,9772,Augsburg,67,1096,40,516,2639,491
9,9773,Dillingen a.d.Donau,54,1611,27,1045,4099,1012
9,9774,Günzburg,59,1367,40,652,2612,585
9,9775,Neu-Ulm,72,1039,40,462,2297,435
9,9776,Lindau (Bodensee),63,1056,36,461,3039,441
9,9777,Ostallgäu,59,1418,33,907,3726,837
9,9778,Unterallgäu,58,1369,32,855,4129,805
9,9779,Donau-Ries,51,1765,33,788,3800,760
9,9780,Oberallgäu,64,1192,36,667,3155,663
10,10041,Regionalverband Saarbrücken,76,734,52,260,1804,255
10,10042,Landkreis Merzig-Wadern,42,1733,30,269,3777,263
10,10043,Landkreis Neunkirchen,76,799,38,229,1762,226
10,10044,Landkreis Saarlouis,66,1083,37,284,3004,284
10,10045,Saarpfalz-Kreis,58,1177,38,231,2305,230
10,10046,Landkreis St. Wendel,49,1342,31,314,4452,302
11,11000,Berlin,98,334,69,313,1130,284
12,12051,Brandenburg an der Havel,83,659,54,459,2199,439
12,12052,Cottbus,85,640,63,338,2352,313
12,12053,Frankfurt (Oder),88,611,62,283,2060,272
12,12054,Potsdam,89,540,65,351,2039,324
12,12060,Barnim,66,1262,42,405,2332,390
12,12061,Dahme-Spreewald,59,1658,42,470,2391,458
12,12062,Elbe-Elster,56,1792,37,468,2878,453
12,12063,Havelland,64,1506,38,481,2455,461
12,12064,Märkisch-Oderland,61,1611,54,569,2667,518
12,12065,Oberhavel,68,1265,50,497,2166,455
12,12066,Oberspreewald-Lausitz,69,1272,37,406,2688,392
12,12067,Oder-Spree,59,1740,39,509,2784,474
12,12068,Ostprignitz-Ruppin,54,2604,36,365,3391,361
12,12069,Potsdam-Mittelmark,62,1599,42,554,2975,545
12,12070,Prignitz,59,2229,36,416,2960,410
12,12071,Spree-Neiße,53,1900,37,406,3254,402
12,12072,Teltow-Fläming,62,1567,39,416,2295,411
12,12073,Uckermark,60,2034,34,437,3468,433
13,13003,"Rostock, Hansestadt",95,387,67,347,1437,274
13,13004,"Schwerin, Landeshauptstadt",92,450,66,376,1612,331
13,13071,Mecklenburgische Seenplatte,64,2002,31,665,3968,651
13,13072,Landkreis Rostock,51,2173,37,821,2858,777
13,13073,Vorpommern-Rügen,68,1535,33,589,3246,558
13,13074,Nordwestmecklenburg,57,1786,35,694,3402,659
13,13075,Vorpommern-Greifswald,67,1629,35,890,3008,824
13,13076,Ludwigslust-Parchim,51,2504,31,1039,3580,983
14,14511,Chemnitz,87,542,62,277,1358,254
14,14521,Erzgebirgskreis,70,1004,38,488,2349,468
14,14522,Mittelsachsen,59,1406,36,523,3097,499
14,14523,Vogtlandkreis,67,1189,39,746,1963,654
14,14524,Zwickau,71,876,43,421,2411,412
14,14612,Dresden,93,439,68,305,1547,264
14,14625,Bautzen,60,1295,37,498,3014,491
14,14626,Görlitz,65,1181,37,550,2634,532
14,14627,Meißen,66,1277,41,430,2537,409
14,14628,Sächsische Schweiz-Osterzgebirge,58,1305,42,407,2406,382
14,14713,Leipzig,96,376,69,329,1040,264
14,14729,Leipzig,61,1349,38,440,2468,430
14,14730,Nordsachsen,62,1361,37,585,2851,531
15,15001,Dessau-Roßlau,87,607,56,364,1435,332
15,15002,Halle (Saale),96,392,69,437,1304,265
15,15003,Magdeburg,95,426,66,404,1876,335
15,15081,Altmarkkreis Salzwedel,53,2335,31,1052,3840,899
15,15082,Anhalt-Bitterfeld,71,1260,36,639,2834,598
15,15083,Börde,57,1762,35,887,3343,857
15,15084,Burgenlandkreis,64,1346,37,572,2955,544
15,15085,Harz,72,1216,37,633,2605,611
15,15086,Jerichower Land,60,1793,34,1112,3273,1055
15,15087,Mansfeld-Südharz,62,1666,35,999,3105,853
15,15088,Saalekreis,59,1282,45,680,2502,597
15,15089,Salzlandkreis,72,1162,36,1088,2388,827
15,15090,Stendal,61,2086,33,1093,3387,967
15,15091,Wittenberg,58,1810,36,959,2432,855
16,16051,Erfurt,89,555,64,358,2184,315
16,16052,Gera,86,676,65,453,1819,325
16,16053,Jena,92,465,67,346,1436,318
16,16054,Suhl,77,866,36,528,1819,486
16,16055,Weimar,90,503,39,306,1198,284
16,16056,Eisenach,85,601,38,342,1491,312
16,16061,Eichsfeld,56,1707,33,694,3603,667
16,16062,Nordhausen,68,1203,47,490,1990,434
16,16063,Wartburgkreis,55,1566,27,1005,4101,958
16,16064,Unstrut-Hainich-Kreis,65,1428,31,858,3530,855
16,16065,Kyffhäuserkreis,64,1525,35,1043,3558,864
16,16066,Schmalkalden-Meiningen,68,1265,36,689,2807,661
16,16067,Gotha,69,1186,48,432,3350,402
16,16068,Sömmerda,52,1862,36,521,2768,479
16,16069,Hildburghausen,47,1860,26,811,4938,793
16,16070,Ilm-Kreis,68,1302,37,537,2571,507
16,16071,Weimarer Land,48,1770,37,317,3153,308
16,16072,Sonneberg,58,1375,38,337,1653,321
16,16073,Saalfeld-Rudolstadt,62,1423,37,341,2492,322
16,16074,Saale-Holzland-Kreis,54,1677,38,343,3419,340
16,16075,Saale-Orla-Kreis,54,1686,35,449,3172,444
16,16076,Greiz,55,1654,38,608,2779,563
16,16077,Altenburger Land,62,1458,35,584,3628,574
