ags5,car density,no of paths per person and day,kilometers per person and day, percentage out of home,share of journeys on foot,share of journeys on bike,proportion of motorised vehicle passenger,share of motorised vehicle driver,share of public transport ,public transport per 1000 inhabitants,activity index
5962,566,3.14244,41.6475,83.8,20.2,5.1,16.9,50.8,7.0,219.9708,73.115371451
5966,598,3.17912,40.2724,85.9,20.9,6.8,15.9,47.0,9.4,298.83727999999996,73.31896705
5970,557,3.0558099999999997,37.4841,84.7,21.8,4.2,15.3,50.1,8.6,262.79966,64.679341077
5974,579,3.19802,40.816,85.3,18.7,12.4,14.9,47.3,6.7,214.26734,74.22827855
5978,558,3.10585,38.6444,85.4,19.4,14.4,13.3,44.3,8.6,267.1031,68.333498745
6411,382,3.26837,37.4568,87.0,26.5,18.7,11.5,29.7,13.7,447.76669000000004,71.00515522100001
6412,322,3.17509,35.4147,85.5,29.9,14.8,9.4,25.8,20.1,638.19309,64.09357009899999
6413,369,3.13781,35.2928,84.4,26.6,13.3,11.6,33.6,14.9,467.53369000000004,62.310888698999996
6414,435,3.04359,41.6484,86.0,24.9,7.2,13.9,37.5,16.5,502.19235,72.676108153
6431,584,3.18867,42.5246,85.1,18.1,9.8,15.3,47.3,9.4,299.73498,76.92865050399999
6432,575,3.27497,40.793,86.9,22.2,12.2,13.4,43.7,8.5,278.37245,77.396529801
6433,496,3.09072,40.4007,85.8,21.8,13.2,12.9,42.1,10.0,309.072,71.42406786
6434,549,3.22365,40.6417,86.7,24.7,9.1,14.7,41.5,10.0,322.365,75.726448166
6435,562,3.1764099999999997,41.7746,85.7,23.1,9.5,14.8,42.8,9.7,308.11177000000004,75.812080939
6436,557,3.1175900000000003,44.9819,87.0,19.9,8.0,15.0,47.8,9.3,289.93587,81.33637054
6437,600,3.16569,40.0057,86.3,21.5,6.2,15.4,49.9,7.0,221.5983,72.863460764
6438,529,3.12535,42.5959,86.0,22.0,11.8,14.1,41.6,10.4,325.0364,76.326201744
6439,604,3.09822,41.9819,84.5,23.1,5.8,14.4,46.8,9.8,303.62556,73.272294716
6440,570,3.11903,42.0001,83.8,22.9,7.7,14.0,46.0,9.4,293.18882,73.18509417
6531,518,3.11936,40.7231,85.4,20.8,9.5,13.6,48.4,7.7,240.19072000000003,72.32241858
6532,587,3.0861400000000003,38.2817,83.1,22.6,4.4,16.9,48.0,8.1,249.97734,65.451047843
6533,592,3.0921,39.5879,83.9,24.2,4.6,15.7,48.6,7.0,216.447,68.467851033
6534,532,3.13065,37.5064,83.8,23.2,7.0,13.8,46.8,9.3,291.15045,65.598311035
6535,632,3.20642,42.2134,85.2,20.6,4.7,14.1,53.1,7.5,240.4815,76.88100953600001
6611,383,3.13657,34.628,84.8,26.8,11.0,11.8,33.4,17.0,533.2169,61.402631848999995
6631,580,3.06065,40.3789,84.4,22.8,5.8,14.8,48.1,8.5,260.15525,69.537542774
6632,606,3.04466,38.0101,83.3,20.0,6.4,15.3,50.4,7.8,237.48348,64.267522185
6633,587,3.12578,39.2978,84.4,23.2,5.0,14.9,48.4,8.5,265.6913,69.115878685
6634,618,3.14023,40.5296,84.8,20.6,5.0,14.4,53.2,6.8,213.53564,71.95125427
6635,612,3.12669,39.5425,84.2,22.7,5.7,13.7,51.5,6.4,200.10816,69.401647541
6636,582,2.95255,38.3124,82.8,23.7,6.7,14.9,48.3,6.5,191.91575,62.441840694
7111,451,3.14812,37.3767,86.6,26.9,9.3,13.5,39.0,11.2,352.58943999999997,67.932698448
7131,603,3.17935,42.7667,85.9,26.1,5.6,13.7,45.5,9.1,289.32085,77.865662845
7132,592,3.12989,39.8516,84.5,19.0,6.6,16.2,50.1,8.1,253.52109,70.26520003600001
7133,579,3.0318,36.806999999999995,83.6,22.5,6.9,15.1,45.7,9.8,297.1164,62.193641822
7134,595,3.05094,40.885999999999996,83.1,18.4,5.8,16.6,52.4,6.8,207.46392,69.106365993
7135,625,3.13626,40.7723,84.7,19.9,9.4,14.4,49.0,7.3,228.94697999999997,72.205357305
7137,592,3.03947,41.7299,84.6,20.5,6.1,15.6,50.1,7.8,237.07866,71.535943442
7138,591,3.10029,38.1359,83.7,21.4,6.0,16.2,48.0,8.3,257.32407,65.973650971
7140,617,3.13159,43.5539,85.3,23.4,4.9,14.4,48.9,8.4,263.05356,77.562128613
7141,608,3.12931,38.9734,85.0,21.7,6.1,14.5,49.0,8.7,272.24997,69.110581867
7143,609,3.2927800000000005,41.5998,86.8,19.6,4.9,15.2,53.6,6.7,220.61626,79.265175225
7211,414,3.21237,36.6013,85.9,25.5,12.3,12.2,38.0,12.0,385.4844,67.332381754
7231,612,3.18508,42.5333,85.2,23.7,8.3,14.4,47.0,6.6,210.21527999999998,76.948075077
7232,613,3.11286,42.6465,85.2,18.8,6.3,16.0,51.4,7.4,230.35164,75.403467706
7233,629,3.08846,41.2334,84.7,18.8,8.8,14.9,50.6,6.9,213.10374,71.90900497300001
7235,623,3.14601,39.6096,85.3,20.7,6.4,14.9,49.0,9.0,283.1409,70.86280309
7311,495,3.05219,37.5726,84.4,19.7,20.9,13.4,36.9,9.2,280.80147999999997,64.525889741
7312,442,3.09341,37.4607,85.7,25.4,6.2,14.9,43.5,10.1,312.43441,66.206851678
7313,509,3.21728,37.9559,85.1,21.7,15.3,13.6,41.6,7.8,250.94783999999999,69.279772678
7314,422,3.06847,34.8477,86.2,21.9,13.8,14.1,35.6,14.6,447.99662,61.44860212
7315,390,3.13348,38.0771,86.0,24.8,10.2,13.2,36.1,15.7,491.95635999999996,68.40659661699999
7316,549,3.19404,40.5803,85.6,23.9,12.2,13.0,41.4,9.4,300.23976,73.967017872
7317,499,3.0877,35.5796,84.3,23.7,5.9,15.3,47.0,8.1,250.1037,61.740831577
7318,505,3.25771,40.5989,86.9,19.8,23.6,11.4,37.2,8.0,260.6168,76.622303699
7319,493,3.14645,38.7633,85.1,21.9,10.4,14.1,45.0,8.6,270.5947,69.19582285199999
7320,559,3.03435,36.5648,83.0,21.5,6.4,15.7,47.4,8.9,270.05715,61.39255515399999
7331,612,3.16008,44.6085,85.7,19.0,6.3,15.0,48.5,11.2,353.92896,80.538819586
7332,635,3.09217,42.9313,84.0,21.9,8.4,14.8,46.9,8.0,247.3736,74.34049163600001
7333,622,3.0939200000000002,40.0665,84.2,23.5,4.1,16.8,47.6,8.0,247.5136,69.584308975
7334,589,3.0001900000000004,41.202,84.1,18.1,13.1,14.6,45.9,8.2,246.01557999999997,69.306153112
7335,607,3.0340700000000003,38.8452,84.3,21.0,5.2,15.5,48.8,9.5,288.23665,66.236789452
7336,648,3.1433,40.3008,85.4,19.4,2.8,15.2,55.6,7.1,223.1743,72.121725975
7337,643,3.18586,40.7865,85.0,20.2,9.1,14.6,47.2,8.8,280.35568,73.632711371
7338,619,3.16055,40.9776,86.1,17.2,13.3,14.1,46.5,8.9,281.28895,74.339746612
7339,586,3.2290200000000002,41.9035,85.3,21.0,8.6,13.3,46.5,10.5,339.0471,76.944716902
7340,670,3.10942,42.2746,86.6,18.4,5.1,15.5,54.0,7.0,217.6594,75.89017034
8111,359,3.25161,38.9335,87.3,27.9,8.7,10.9,32.1,20.4,663.32844,73.679196718
8115,548,3.22935,39.0277,87.4,23.5,8.4,13.9,43.5,10.8,348.7698,73.435870678
8116,545,3.00089,40.552,84.2,24.1,8.3,13.5,42.0,12.1,363.10769,68.309827239
8117,575,3.08849,41.1483,85.6,16.7,8.5,16.9,50.0,7.8,240.90222000000003,72.523808524
8118,554,3.08264,39.689,86.1,23.1,7.8,14.8,42.2,12.1,372.99944,70.227120003
8119,553,3.28995,40.5444,87.7,20.8,9.2,13.6,45.7,10.8,355.3146,77.98813052
8121,457,3.23992,42.4541,86.0,24.5,12.5,14.5,38.5,10.0,323.992,78.86078893199999
8125,589,3.20492,46.841,86.2,19.0,6.9,15.5,50.2,8.5,272.4182,86.269912636
8126,611,3.1882200000000003,44.4383,84.9,17.8,5.6,15.0,54.9,6.6,210.42252000000002,80.19035748399999
8127,594,3.09337,42.9497,85.2,17.4,9.4,15.9,49.3,7.9,244.37623,75.464090062
8128,607,3.22739,37.7681,85.5,22.4,7.9,13.9,48.2,7.6,245.28163999999998,69.478661308
8135,571,3.1935599999999997,40.1975,85.4,20.4,7.9,15.2,48.0,8.5,271.4526,73.087100932
8136,579,3.13394,40.2363,84.6,23.5,5.7,16.1,47.7,7.0,219.3758,71.119356612
8211,524,3.16811,43.2161,85.4,22.5,7.0,13.9,45.8,10.7,338.98777,77.949338813
8212,374,3.26962,39.6944,86.4,23.4,22.1,9.6,31.7,13.2,431.58984000000004,74.756507978
8215,565,3.18992,43.8006,85.8,19.5,11.4,14.4,46.6,8.1,258.38352000000003,79.920074493
8216,593,3.0402299999999998,42.4627,84.0,20.6,7.0,14.2,47.1,11.1,337.46553,72.293969676
8221,313,3.3138699999999996,40.5631,87.7,26.3,23.3,10.1,26.6,13.7,454.00019000000003,78.591384569
8222,403,3.2097,39.3465,85.2,23.8,18.1,11.4,32.8,13.9,446.1483,71.73298187600001
8225,596,3.16122,43.0639,84.3,21.0,5.8,15.2,50.5,7.6,240.25272,76.50756762
8226,554,3.19558,41.1261,85.4,20.8,10.9,14.0,44.5,9.8,313.16684,74.822778809
8231,425,2.9833,35.7589,83.5,25.4,5.6,15.8,41.4,11.8,352.0294,59.384936346
8235,586,3.11332,42.4943,86.3,19.6,6.5,16.3,48.4,9.2,286.42544,76.115653045
8236,598,3.0237700000000003,41.0672,85.1,20.8,7.4,15.1,48.1,8.7,263.06799,70.450186673
8237,579,3.25326,42.7678,86.1,21.4,7.6,14.2,49.5,7.2,234.23472,79.863359718
8311,335,3.3738900000000003,38.6578,87.8,26.2,23.3,9.8,25.4,15.2,512.83128,76.34336715399999
8315,543,3.19414,42.6334,85.0,18.0,6.9,14.9,43.6,16.6,530.22724,77.166994023
8316,557,3.13518,41.7775,85.0,19.0,9.7,13.6,48.0,9.7,304.11246,74.221990055
8317,565,3.12842,40.914,85.4,19.0,14.1,14.0,43.9,9.0,281.5578,72.872489468
8325,595,3.3242800000000003,43.7565,87.6,19.3,7.8,15.2,51.3,6.4,212.75392000000002,84.947972967
8326,548,3.05001,38.1697,84.3,22.8,7.7,14.6,46.9,8.0,244.0008,65.42689728399999
8327,551,3.14719,39.2764,85.2,21.3,7.6,14.8,48.6,7.6,239.18644,70.210646603
8335,507,3.1407599999999998,38.349000000000004,86.1,24.4,11.9,14.0,40.8,8.9,279.52763999999996,69.135433008
8336,549,3.1589099999999997,39.6602,85.6,21.5,12.9,13.1,42.7,9.8,309.57318,71.494833359
8337,574,3.15893,44.6007,85.5,20.8,4.3,15.7,50.3,8.9,281.14477,80.307578873
8415,554,3.24326,37.7663,85.4,23.2,10.1,14.7,44.5,7.6,246.48776,69.735322892
8416,487,3.24873,38.9856,86.8,22.5,9.9,13.0,43.2,11.4,370.35522000000003,73.290267623
8417,609,3.2886,43.1663,86.1,19.1,5.3,16.3,52.4,6.9,226.9134,81.48314245899999
8421,427,3.15233,40.9728,87.1,26.1,12.2,13.2,35.0,13.5,425.56455,74.998782766
8425,594,3.1854400000000003,41.7138,87.1,19.4,7.3,14.8,51.7,6.7,213.42448,77.15713264
8426,592,3.2739,41.1197,87.0,18.4,10.5,14.6,49.1,7.4,242.2686,78.080635781
8435,570,3.1918599999999997,41.8935,86.9,20.4,13.6,14.2,43.8,8.0,255.3488,77.46740295
8436,563,3.2576,41.1082,86.7,21.6,12.9,13.5,43.9,8.1,263.8656,77.402333801
8437,598,3.12051,41.0315,85.8,20.3,6.6,16.2,50.4,6.6,205.95366,73.238425869
9161,457,3.16846,38.6633,86.0,17.9,20.3,12.5,41.9,7.3,231.29757999999998,70.235121857
9162,350,3.20581,40.7413,87.4,24.5,17.7,9.5,25.7,22.6,724.51306,76.101433145
9163,462,3.17905,41.2028,85.7,21.2,15.7,13.5,42.8,6.9,219.35445,74.836531646
9171,579,3.17751,43.0471,84.8,17.0,13.3,15.6,47.0,7.1,225.60321000000002,77.32775795399999
9172,551,3.10835,38.8318,84.6,19.6,11.7,13.7,47.6,7.4,230.0179,68.076393599
9173,562,3.16412,39.993,85.0,20.0,10.7,13.4,47.6,8.3,262.62196,71.70750232399999
9174,540,3.03015,43.7311,85.1,17.6,11.4,13.2,45.0,12.8,387.8592,75.17835703899999
9175,530,3.1778,47.2815,86.8,18.9,12.1,14.7,41.1,13.2,419.4696,86.94533253799999
9176,587,3.13179,41.9589,85.9,19.9,10.8,15.1,45.3,8.9,278.72931,75.25210139100001
9177,590,3.0777799999999997,45.5624,85.2,17.9,10.6,14.3,47.5,9.8,301.62244,79.651232692
9178,539,3.21012,43.5932,86.3,17.7,13.0,13.3,45.2,10.7,343.48284,80.511803299
9179,511,3.20305,41.5614,87.4,20.3,15.9,13.2,37.6,13.0,416.3965,77.566475829
9180,511,3.20598,40.8828,86.0,22.2,17.8,12.9,41.1,6.0,192.3588,75.146478443
9181,599,3.19512,45.3265,86.0,19.7,13.3,13.2,43.8,9.9,316.31687999999997,83.032201163
9182,578,3.20257,43.961999999999996,86.9,22.5,8.8,15.2,45.5,8.0,256.2056,81.565140836
9183,584,3.23386,44.6927,84.5,17.1,11.0,15.4,48.4,8.1,261.94266,81.41852995
9184,496,3.20492,44.4237,87.7,19.9,14.3,13.0,38.0,14.8,474.32815999999997,83.241568558
9185,606,3.22016,40.5624,86.7,16.6,12.5,14.6,48.8,7.4,238.29183999999998,75.496867595
9186,599,3.11707,48.7726,86.6,15.9,12.7,15.2,46.5,9.7,302.35579,87.77060584799999
9187,582,3.23026,42.0327,84.8,17.5,12.7,14.6,46.7,8.6,277.80236,76.759009318
9188,549,3.16584,47.2841,86.5,21.0,11.3,16.2,40.6,10.9,345.07656000000003,86.323479533
9189,598,3.11227,40.7169,86.0,17.3,8.2,15.5,51.6,7.4,230.30798,72.653938848
9190,590,3.31169,43.6212,87.9,19.0,13.4,15.1,45.6,6.9,228.50661000000002,84.65349661100001
9261,445,3.16147,40.4982,86.3,21.1,20.7,12.8,34.9,10.6,335.11582000000004,73.662138452
9262,442,3.11992,36.7932,85.0,23.7,6.8,13.9,43.1,12.6,393.10992000000005,65.04870964199999
9263,481,3.1444400000000003,40.5887,85.8,21.0,10.5,14.7,44.5,9.2,289.28848,73.003634606
9271,586,3.1194599999999997,39.1971,84.9,19.4,12.7,15.2,46.8,5.8,180.92868,69.20696263
9272,615,3.0461400000000003,40.1733,82.8,17.3,4.1,15.7,56.2,6.7,204.09138000000002,67.550169826
9273,598,3.14312,39.9135,85.0,15.6,8.5,15.3,54.1,6.5,204.3028,71.089988068
9274,621,3.14659,42.7216,84.9,16.2,10.4,15.0,51.2,7.2,226.55447999999998,76.085885389
9275,608,2.93552,40.2845,82.9,15.3,5.0,15.7,55.7,8.2,240.71264,65.35612470699999
9276,577,3.08,37.5719,84.4,18.1,2.6,16.2,55.6,7.4,227.92,65.112603659
9277,599,3.00203,41.4881,84.4,17.5,6.0,17.0,52.6,7.0,210.1421,70.07930106100001
9278,634,3.11849,43.1678,85.0,15.5,6.6,15.4,55.3,7.2,224.53127999999998,76.283733152
9279,616,3.09245,45.769,84.1,20.4,7.7,14.5,49.2,8.1,250.48845,79.355831564
9361,517,3.12344,36.6045,85.1,21.6,11.7,13.2,45.8,7.7,240.50487999999999,64.864331678
9362,414,3.3552199999999996,37.0568,87.1,25.1,17.8,12.5,34.9,9.7,325.45634,72.196444712
9363,522,3.09638,38.5366,84.2,22.2,10.8,13.3,45.7,8.0,247.7104,66.980514814
9371,629,3.06296,42.1801,84.2,18.9,6.5,14.2,52.6,7.9,241.97384,72.521998373
9372,624,3.1164099999999997,39.4184,85.2,16.6,4.5,14.4,58.8,5.6,174.51896000000002,69.77533289600001
9373,579,3.1769700000000003,43.0468,86.0,19.1,9.8,14.7,48.4,8.0,254.1576,78.40814485899999
9374,641,3.17583,41.9712,85.2,18.5,6.2,14.9,54.8,5.5,174.67065,75.710648983
