,ags5,time_stamp,value
279,01002,2014-05-31,114913
280,01002,2014-06-30,114987
281,01002,2014-07-31,114603
282,01002,2014-08-31,115854
283,01002,2014-09-30,116838
284,01002,2014-10-31,117060
285,01002,2014-11-30,117017
286,01002,2014-12-31,116380
287,01002,2015-01-31,116424
288,01002,2015-02-28,116639
289,01002,2015-03-31,117033
290,01002,2015-04-30,117245
291,01002,2015-05-31,117250
292,01002,2015-06-30,117471
293,01002,2015-07-31,116998
294,01002,2015-08-31,117868
295,01002,2015-09-30,118921
296,01002,2015-10-31,118975
297,01002,2015-11-30,119397
298,01002,2015-12-31,118800
299,01002,2016-01-31,117877
300,01002,2016-02-29,118261
301,01002,2016-03-31,118589
302,01002,2016-04-30,118952
303,01002,2016-05-31,119346
304,01002,2016-06-30,119607
305,01002,2016-07-31,119101
306,01002,2016-08-31,119460
307,01002,2016-09-30,120758
308,01002,2016-10-31,121233
309,01002,2016-11-30,121438
310,01002,2016-12-31,120798
311,01002,2017-01-31,120512
312,01002,2017-02-28,120616
313,01002,2017-03-31,120834
314,01002,2017-04-30,120710
315,01002,2017-05-31,121162
316,01002,2017-06-30,121304
317,01002,2017-07-31,120727
318,01002,2017-08-31,122028
319,01002,2017-09-30,123354
320,01002,2017-10-31,123753
321,01002,2017-11-30,123947
322,01002,2017-12-31,123394
323,01002,2018-01-31,122672
324,01002,2018-02-28,122700
325,01002,2018-03-31,123010
326,01002,2018-04-30,123432
327,01002,2018-05-31,123850
328,01002,2018-06-30,123935
329,01002,2018-07-31,123669
330,01002,2018-08-31,125116
331,01002,2018-09-30,125944
332,01002,2018-10-31,126384
333,01002,2018-11-30,126798
334,01002,2018-12-31,126435
335,01002,2019-01-31,125157
336,01002,2019-02-28,125290
337,01002,2019-03-31,125511
338,01002,2019-04-30,125835
339,01002,2019-05-31,125922
340,01002,2019-06-30,125483
341,01002,2019-07-31,125073
342,01002,2019-08-31,126469
343,01002,2019-09-30,127723
344,01002,2019-10-31,128028
345,01002,2019-11-30,128138
346,01002,2019-12-31,127675
347,01002,2020-01-31,126969
348,01002,2020-02-29,126995
349,01002,2020-03-31,127181
350,01002,2020-04-30,126072
351,01002,2020-05-31,125700
352,01002,2020-06-30,125487
353,01002,2020-07-31,125022
354,01002,2020-08-31,126508
355,01002,2020-09-30,127443
356,01002,2020-10-31,127743
357,01002,2020-11-30,128231
358,01003,2006-01-31,76909
359,01003,2006-02-28,76747
360,01003,2006-03-31,76905
361,01003,2006-04-30,77318
362,01003,2006-05-31,77870
363,01003,2006-06-30,77869
364,01003,2006-07-31,77877
365,01003,2006-08-31,79096
366,01003,2006-09-30,79823
367,01003,2006-10-31,79942
368,01003,2006-11-30,79858
369,01003,2006-12-31,79225
370,01003,2007-01-31,78643
371,01003,2007-02-28,78480
372,01003,2007-03-31,78800
373,01003,2007-04-30,79131
374,01003,2007-05-31,79598
375,01003,2007-06-30,79834
376,01003,2007-07-31,79883
377,01003,2007-08-31,81983
378,01003,2007-09-30,82512
