_id,ags2,bundesland,ags5,kreis,kr_ein_md,kr_schu_qu,kr_hh_eink_kl1,kr_hh_eink_kl2,kr_hh_eink_kl3,kr_hh_eink_kl4,kr_hh_eink_kl5,kr_hh_eink_kl6,kr_kk_hh,kr_kk_ew
74,05,Nordrhein-Westfalen,05154,Kleve,2882,10.4,19154,21098,35877,22797,19256,18586,48771,21462
75,05,Nordrhein-Westfalen,05158,Mettmann,3473,10.3,16178,43050,73213,39881,29307,44077,51530,26076
76,05,Nordrhein-Westfalen,05162,Rhein-Kreis Neuss,3446,10.5,6699,28544,61174,39395,30402,43540,55797,25956
77,05,Nordrhein-Westfalen,05166,Viersen,2969,10.3,18111,22636,35671,22456,17932,23366,50575,23724
78,05,Nordrhein-Westfalen,05170,Wesel,3047,10.0,27482,39420,57387,35107,27106,30331,47985,22637
79,05,Nordrhein-Westfalen,05314,Bonn,3857,8.9,9013,25615,50756,35738,23907,27088,45203,23779
80,05,Nordrhein-Westfalen,05315,Köln,3696,11.7,26970,91707,151147,98274,87897,99312,44374,22699
81,05,Nordrhein-Westfalen,05316,Leverkusen,4170,11.7,5048,18138,26685,12911,8470,10372,44332,22091
82,05,Nordrhein-Westfalen,05334,Aachen,3365,11.1,29589,59138,88769,43114,27005,28292,42356,21044
83,05,Nordrhein-Westfalen,05358,Düren,3236,11.9,13125,24495,34425,19276,15250,13897,47523,21717
84,05,Nordrhein-Westfalen,05362,Rhein-Erft-Kreis,3188,11.3,26128,31526,57268,39026,29931,38925,48706,23091
85,05,Nordrhein-Westfalen,05366,Euskirchen,3079,11.0,10866,14753,23472,14795,11913,12099,49058,22372
86,05,Nordrhein-Westfalen,05370,Heinsberg,2926,11.6,19671,18998,28414,17881,15565,15238,45921,20911
87,05,Nordrhein-Westfalen,05374,Oberbergischer Kreis,3320,10.3,9509,21452,39045,24025,16998,15806,51133,23811
88,05,Nordrhein-Westfalen,05378,Rheinisch-Bergischer Kreis,3192,9.0,7295,15898,34371,24527,20426,31991,56698,26913
89,05,Nordrhein-Westfalen,05382,Rhein-Sieg-Kreis,3082,8.8,22978,32952,69053,50517,40896,57744,53513,24467
90,05,Nordrhein-Westfalen,05512,Bottrop,3149,11.8,6117,13981,18512,9025,5672,5149,41789,20815
91,05,Nordrhein-Westfalen,05513,Gelsenkirchen,3242,18.0,17965,56289,38230,10646,5873,4605,32368,16594
92,05,Nordrhein-Westfalen,05515,Münster,3432,8.4,9565,30105,49710,28864,23444,28050,44714,24153
93,05,Nordrhein-Westfalen,05554,Borken,3091,8.6,12650,20870,42240,28978,24208,25828,55761,23297
94,05,Nordrhein-Westfalen,05558,Coesfeld,3000,7.2,6482,11043,23776,17631,14924,19118,57866,24482
95,05,Nordrhein-Westfalen,05562,Recklinghausen,3127,13.0,38584,80000,90240,42519,28057,27690,41875,20907
96,05,Nordrhein-Westfalen,05566,Steinfurt,2976,8.8,17793,26307,52773,36873,28353,28193,53984,22960
97,05,Nordrhein-Westfalen,05570,Warendorf,3201,8.9,8721,19339,33849,21832,17211,19249,55555,24050
98,05,Nordrhein-Westfalen,05711,Bielefeld,3310,11.4,14272,36003,53496,27912,19811,17314,45846,23193
99,05,Nordrhein-Westfalen,05754,Gütersloh,3177,8.7,7962,21120,43584,31568,24760,29006,60079,26086
100,05,Nordrhein-Westfalen,05758,Herford,3055,10.8,10057,22108,38226,20600,13637,13593,49554,23369
101,05,Nordrhein-Westfalen,05762,Höxter,2901,8.4,4785,12179,23371,10212,6595,5689,50937,22773
102,05,Nordrhein-Westfalen,05766,Lippe,3185,9.7,15537,29677,51086,27672,19747,18860,49853,23276
103,05,Nordrhein-Westfalen,05770,Minden-Lübbecke,3097,10.2,11471,23888,43309,25339,18249,16455,53873,24066
104,05,Nordrhein-Westfalen,05774,Paderborn,3077,9.1,13071,21527,42636,26379,19846,18872,48060,22302
105,05,Nordrhein-Westfalen,05911,Bochum,3273,12.4,25741,55496,62839,23741,14059,13539,38357,20560
106,05,Nordrhein-Westfalen,05913,Dortmund,3315,14.4,57604,98059,69862,34441,24804,25445,37437,19787
107,05,Nordrhein-Westfalen,05914,Hagen,3267,15.9,7505,28959,35278,11475,6335,5511,40816,20553
108,05,Nordrhein-Westfalen,05915,Hamm,3022,14.9,11625,26464,24249,10985,6919,6009,39025,18802
109,05,Nordrhein-Westfalen,05916,Herne,3295,17.9,12239,31556,23374,8087,4268,3483,34280,18201
110,05,Nordrhein-Westfalen,05954,Ennepe-Ruhr-Kreis,3267,11.0,17236,35717,51170,25606,18337,20559,48525,25238
111,05,Nordrhein-Westfalen,05958,Hochsauerlandkreis,3186,10.1,14779,23310,42149,22073,14244,12808,49921,24806
112,05,Nordrhein-Westfalen,05962,Märkischer Kreis,3314,12.8,8073,35269,74673,33974,22991,22294,53801,25763
113,05,Nordrhein-Westfalen,05966,Olpe,3290,8.5,3116,6729,18243,14882,10984,9933,61012,28936
114,05,Nordrhein-Westfalen,05970,Siegen-Wittgenstein,3418,9.3,13678,22381,42589,25999,17455,13904,49378,24153
115,05,Nordrhein-Westfalen,05974,Soest,3174,10.3,15608,25191,40819,24998,17839,17689,49507,23322
116,05,Nordrhein-Westfalen,05978,Unna,2948,11.7,22876,45531,54422,29629,21185,20290,44918,22072
117,06,Hessen,06411,Kreisfreie Stadt Darmstadt,4185,8.8,4734,11235,26063,20321,11821,10763,43264,23084
118,06,Hessen,06412,Kreisfreie Stadt Frankfurt am Main,4182,10.5,5966,41232,111154,74208,76308,91046,42066,22341
119,06,Hessen,06413,Kreisfreie Stadt Offenbach am Main,3450,17.1,4954,12483,28796,12403,5229,3677,34684,18199
120,06,Hessen,06414,Landeshauptstadt Wiesbaden,3758,16.6,1264,10283,44907,37289,26510,28166,48582,25907
121,06,Hessen,06431,Bergstraße,3029,8.8,4740,17438,40675,27663,18653,22225,50085,24410
122,06,Hessen,06432,Darmstadt-Dieburg,3131,8.5,2603,12227,40179,31381,24006,29215,51986,24412
123,06,Hessen,06433,Groß-Gerau,3687,9.4,3776,18791,42553,28573,18683,17837,45004,21350
124,06,Hessen,06434,Hochtaunus,4024,7.1,583,2542,20693,25287,23146,40458,71975,34300
125,06,Hessen,06435,Main-Kinzig,3134,10.1,5846,27779,66342,39645,27250,30322,51077,24048
126,06,Hessen,06436,Main-Taunus,4061,7.2,1365,8286,27607,25840,20231,32617,56091,27361
127,06,Hessen,06437,Odenwaldkreis,2958,9.9,2973,8469,14677,8878,5843,4580,47724,22407
128,06,Hessen,06438,Offenbach,3477,9.1,2454,17205,54676,37947,26918,31490,49989,24102
129,06,Hessen,06439,Rheingau-Taunus,3172,8.1,4994,11682,26440,17794,14518,18119,50711,25352
130,06,Hessen,06440,Wetterau,3156,9.7,5720,16600,43717,29976,21414,26090,51314,24040
131,06,Hessen,06531,Gießen,3237,8.9,10002,23652,46695,26566,14896,12513,42414,21196
132,06,Hessen,06532,Lahn-Dill,3300,9.5,9653,20228,39684,23929,15910,14052,48718,23711
133,06,Hessen,06533,Limburg-Weilburg,2982,11.0,8152,16007,28118,14886,9650,8918,44940,22397
134,06,Hessen,06534,Marburg-Biedenkopf,3331,8.0,8502,23281,40550,22841,14137,10615,43974,21389
135,06,Hessen,06535,Vogelsberg,2954,9.3,4235,9297,18763,8206,5250,4299,48925,23142
136,06,Hessen,06611,Kreisfreie Stadt Kassel,3397,15.7,18486,30102,32011,15278,8037,6790,35106,19288
137,06,Hessen,06631,Fulda,2947,7.7,7820,16291,35587,21929,14206,12136,47707,23150
138,06,Hessen,06632,Hersfeld-Rotenburg,2848,9.4,6248,12527,21898,8636,5245,3983,44788,21707
139,06,Hessen,06633,Kassel,3474,9.3,8396,22604,38237,20167,13733,11998,46530,22652
140,06,Hessen,06634,Schwalm-Eder,3013,10.0,6194,18836,32221,13769,8237,7228,45922,22050
141,06,Hessen,06635,Waldeck-Frankenberg,3071,9.9,10215,16121,25422,11129,7497,6873,45120,22224
142,06,Hessen,06636,Werra-Meißner,2821,11.4,8151,12035,18983,5989,3576,2658,40712,20723
143,07,Rheinland-Pfalz,07111,Stadt Koblenz,3354,12.6,5092,11316,19645,10701,7220,5299,41571,21617
144,07,Rheinland-Pfalz,07131,Ahrweiler,2928,8.6,4661,9636,18636,11767,8539,8523,50720,24162
145,07,Rheinland-Pfalz,07132,Altenkirchen (Ww),3059,11.5,5307,12525,21372,9697,6531,5650,46199,21939
146,07,Rheinland-Pfalz,07133,Bad Kreuznach,3141,9.9,7316,14369,23557,12905,9452,8624,46993,22669
147,07,Rheinland-Pfalz,07134,Birkenfeld,2858,10.8,8073,8405,12714,5040,3706,3407,43095,22086
148,07,Rheinland-Pfalz,07135,Cochem-Zell,2876,8.2,2606,5431,9265,4545,3509,3286,50234,23372
149,07,Rheinland-Pfalz,07137,Mayen-Koblenz,2978,10.0,6282,18063,32295,18231,12537,12516,48414,22586
150,07,Rheinland-Pfalz,07138,Neuwied,3114,10.9,7073,14766,26490,15316,11006,11110,49706,23442
151,07,Rheinland-Pfalz,07140,Rhein-Hunsrück-Kreis,3032,8.5,3733,8593,15823,8671,5921,5956,51766,24502
152,07,Rheinland-Pfalz,07141,Rhein-Lahn-Kreis,3018,10.9,5575,11007,20010,10651,6629,6156,46577,22867
153,07,Rheinland-Pfalz,07143,Westerwaldkreis,2958,11.0,3223,13391,29833,18034,13523,13021,56153,25363
154,07,Rheinland-Pfalz,07211,Stadt Trier,3153,9.9,6547,11378,19417,10658,6572,6014,38687,21191
155,07,Rheinland-Pfalz,07231,Bernkastel-Wittlich,2894,8.4,5525,9081,17085,9140,6460,5652,47700,22510
156,07,Rheinland-Pfalz,07232,Eifelkreis Bitburg-Prüm,3119,8.1,4210,7904,13323,8668,6481,5789,48660,22903
157,07,Rheinland-Pfalz,07233,Vulkaneifel,2948,8.5,4108,5316,8504,4664,3518,2948,46330,22224
158,07,Rheinland-Pfalz,07235,Trier-Saarburg,2899,6.6,4567,9471,19203,14074,10735,12321,49990,23628
159,07,Rheinland-Pfalz,07311,Stadt Frankenthal (Pfalz),3487,13.1,1405,5506,8931,3009,2388,2671,46026,22669
160,07,Rheinland-Pfalz,07312,Stadt Kaiserslautern,3407,14.9,16443,15283,11839,5848,3859,4002,33711,19344
161,07,Rheinland-Pfalz,07313,Stadt Landau in der Pfalz,3051,8.8,2219,4169,7035,4442,2893,2930,42818,21735
162,07,Rheinland-Pfalz,07314,Stadt Ludwigshafen a. Rh.,4534,15.7,5200,21209,31752,11594,7190,6376,40565,19762
163,07,Rheinland-Pfalz,07315,Stadt Mainz,3554,7.8,5588,15131,35982,25790,15011,15749,42278,22056
164,07,Rheinland-Pfalz,07316,Stadt Neustadt a.d. W.,2933,10.4,1898,3934,7107,4477,3751,5325,54362,27107
165,07,Rheinland-Pfalz,07317,Stadt Pirmasens,3031,18.2,5570,6607,6073,1855,1221,1156,35753,19903
166,07,Rheinland-Pfalz,07318,Stadt Speyer,3346,10.7,411,3281,9237,4359,3157,4234,49964,24492
167,07,Rheinland-Pfalz,07319,Stadt Worms,3102,15.5,5304,7555,12065,6626,4702,4239,42920,20863
