,kreis,ags5,cluster
123,Hochtaunus,6434,0
124,Main-Kinzig,6435,0
125,Main-Taunus,6436,0
126,Odenwaldkreis,6437,3
127,Offenbach,6438,0
128,Rheingau-Taunus,6439,0
129,Wetterau,6440,0
130,Gießen,6531,3
131,Lahn-Dill,6532,3
132,Limburg-Weilburg,6533,3
133,Marburg-Biedenkopf,6534,2
134,Vogelsberg,6535,1
135,Kreisfreie Stadt Kassel,6611,3
136,Fulda,6631,2
137,Hersfeld-Rotenburg,6632,1
138,Kassel,6633,3
139,Schwalm-Eder,6634,2
140,Waldeck-Frankenberg,6635,1
141,Werra-Meißner,6636,2
142,Stadt Koblenz,7111,3
143,Ahrweiler,7131,2
144,Altenkirchen (Ww),7132,3
145,Bad Kreuznach,7133,3
146,Birkenfeld,7134,1
147,Cochem-Zell,7135,1
148,Mayen-Koblenz,7137,3
149,Neuwied,7138,3
150,Rhein-Hunsrück-Kreis,7140,2
151,Rhein-Lahn-Kreis,7141,3
152,Westerwaldkreis,7143,3
153,Stadt Trier,7211,0
154,Bernkastel-Wittlich,7231,2
155,Eifelkreis Bitburg-Prüm,7232,2
156,Vulkaneifel,7233,1
157,Trier-Saarburg,7235,2
158,Stadt Frankenthal (Pfalz),7311,0
159,Stadt Kaiserslautern,7312,0
160,Stadt Landau in der Pfalz,7313,0
161,Stadt Ludwigshafen a. Rh.,7314,0
162,Stadt Mainz,7315,0
163,Stadt Neustadt a.d. W.,7316,3
164,Stadt Pirmasens,7317,1
165,Stadt Speyer,7318,0
166,Stadt Worms,7319,0
167,Stadt Zweibrücken,7320,1
168,Alzey-Worms,7331,0
169,Bad Dürkheim,7332,0
170,Donnersbergkreis,7333,1
171,Germersheim,7334,3
172,Kaiserslautern,7335,3
173,Kusel,7336,1
174,Südliche Weinstraße,7337,3
175,Rhein-Pfalz-Kreis,7338,0
176,Mainz-Bingen,7339,0
177,Südwestpfalz,7340,1
178,Stuttgart,8111,0
179,Böblingen,8115,0
180,Esslingen,8116,0
181,Göppingen,8117,0
182,Ludwigsburg,8118,0
183,Rems-Murr-Kreis,8119,0
184,"Heilbronn, Stadt",8121,0
185,"Heilbronn, Kreis",8125,0
186,Hohenlohekreis,8126,2
187,Schwäbisch Hall,8127,2
188,Main-Tauber-Kreis,8128,2
189,Heidenheim,8135,3
190,Ostalbkreis,8136,3
191,Baden-Baden,8211,0
192,"Karlsruhe, Stadt",8212,0
193,"Karlsruhe, Kreis",8215,0
194,Rastatt,8216,3
195,Heidelberg,8221,0
196,Mannheim,8222,0
197,Neckar-Odenwald-Kreis,8225,2
198,Rhein-Neckar-Kreis,8226,0
199,Pforzheim,8231,0
200,Calw,8235,3
201,Enzkreis,8236,3
202,Freudenstadt,8237,2
203,Freiburg im Breisgau,8311,0
204,Breisgau-Hochschwarzwald,8315,3
205,Emmendingen,8316,3
206,Ortenaukreis,8317,3
207,Rottweil,8325,3
208,Schwarzwald-Baar-Kreis,8326,3
209,Tuttlingen,8327,0
210,Konstanz,8335,0
211,Lörrach,8336,3
212,Waldshut,8337,2
213,Reutlingen,8415,3
214,Tübingen,8416,3
215,Zollernalbkreis,8417,0
216,Ulm,8421,3
217,Alb-Donau-Kreis,8425,2
218,Biberach,8426,2
219,Bodenseekreis,8435,3
220,Ravensburg,8436,3
221,Sigmaringen,8437,2
222,Ingolstadt,9161,2
223,"München, Landeshauptstadt",9162,0
224,"Rosenheim, Stadt",9163,0
225,Altötting,9171,0
226,Berchtesgadener Land,9172,2
227,Bad Tölz-Wolfratshausen,9173,2
228,Dachau,9174,3
229,Ebersberg,9175,0
230,Eichstätt,9176,2
231,Erding,9177,2
232,Freising,9178,3
233,Fürstenfeldbruck,9179,0
234,Garmisch-Partenkirchen,9180,2
235,Landsberg am Lech,9181,2
236,Miesbach,9182,2
237,Mühldorf a.Inn,9183,0
238,"München, Kreis",9184,0
239,Neuburg-Schrobenhausen,9185,2
240,Pfaffenhofen a.d.Ilm,9186,2
241,"Rosenheim, Kreis",9187,3
242,Starnberg,9188,3
243,Traunstein,9189,2
244,Weilheim-Schongau,9190,2
245,"Landshut, Stadt",9261,2
246,"Passau, Stadt",9262,0
247,Straubing,9263,1
248,Deggendorf,9271,3
249,Freyung-Grafenau,9272,1
250,Kelheim,9273,2
251,"Landshut, Kreis",9274,2
252,"Passau, Kreis",9275,2
253,Regen,9276,1
254,Rottal-Inn,9277,2
255,Straubing-Bogen,9278,1
256,Dingolfing-Landau,9279,2
257,Amberg,9361,3
258,"Regensburg, Stadt",9362,0
259,Weiden i.d.OPf.,9363,1
260,Amberg-Sulzbach,9371,2
261,Cham,9372,3
262,Neumarkt i.d.OPf.,9373,2
263,Neustadt a.d.Waldnaab,9374,1
264,"Regensburg, Kreis",9375,2
265,Schwandorf,9376,0
266,Tirschenreuth,9377,1
267,"Bamberg, Stadt",9461,2
268,"Bayreuth, Stadt",9462,0
269,"Coburg, Stadt",9463,2
270,"Hof, Stadt",9464,1
271,"Bamberg, Kreis",9471,2
272,"Bayreuth, Kreis",9472,0
273,"Coburg, Kreis",9473,2
274,Forchheim,9474,2
275,"Hof, Kreis",9475,2
276,Kronach,9476,2
277,Kulmbach,9477,2
278,Lichtenfels,9478,2
279,Wunsiedel i.Fichtelgebirge,9479,1
280,"Ansbach, Stadt",9561,0
281,Erlangen,9562,0
282,"Fürth, Stadt",9563,0
283,Nürnberg,9564,0
284,Schwabach,9565,0
285,"Ansbach, Kreis",9571,2
286,Erlangen-Höchstadt,9572,3
287,"Fürth, Kreis",9573,0
288,Nürnberger Land,9574,0
289,Neustadt a.d.Aisch-Bad Windsheim,9575,2
290,Roth,9576,2
291,Weißenburg-Gunzenhausen,9577,2
292,"Aschaffenburg, Stadt",9661,0
293,"Schweinfurt, Stadt",9662,2
294,"Würzburg, Stadt",9663,3
295,"Aschaffenburg, Kreis",9671,0
296,Bad Kissingen,9672,2
297,Rhön-Grabfeld,9673,2
298,Haßberge,9674,2
299,Kitzingen,9675,2
300,Miltenberg,9676,3
301,Main-Spessart,9677,2
302,"Schweinfurt, Kreis",9678,2
303,"Würzburg, Kreis",9679,0
304,"Augsburg, Stadt",9761,0
305,Kaufbeuren,9762,2
306,Kempten (Allgäu),9763,2
307,Memmingen,9764,2
308,Aichach-Friedberg,9771,3
309,"Augsburg, Kreis",9772,3
