,kreis,ags5,cluster
363,Nordsachsen,14730,1
364,Dessau-Roßlau,15001,1
365,Halle (Saale),15002,2
366,Magdeburg,15003,1
367,Altmarkkreis Salzwedel,15081,1
368,Anhalt-Bitterfeld,15082,0
369,Börde,15083,1
370,Burgenlandkreis,15084,0
371,Harz,15085,1
372,Jerichower Land,15086,1
373,Mansfeld-Südharz,15087,1
374,Saalekreis,15088,1
375,Salzlandkreis,15089,1
376,Stendal,15090,1
377,Wittenberg,15091,1
378,Erfurt,16051,1
379,Gera,16052,1
380,Jena,16053,2
381,Suhl,16054,1
382,Weimar,16055,2
383,Eisenach,16056,1
384,Eichsfeld,16061,1
385,Nordhausen,16062,1
386,Wartburgkreis,16063,1
387,Unstrut-Hainich-Kreis,16064,1
388,Kyffhäuserkreis,16065,1
389,Schmalkalden-Meiningen,16066,1
390,Gotha,16067,1
391,Sömmerda,16068,1
392,Hildburghausen,16069,1
393,Ilm-Kreis,16070,1
394,Weimarer Land,16071,2
395,Sonneberg,16072,1
396,Saalfeld-Rudolstadt,16073,1
397,Saale-Holzland-Kreis,16074,1
398,Saale-Orla-Kreis,16075,1
399,Greiz,16076,1
400,Altenburger Land,16077,0
