_id,ags2,bundesland,ags5,kreis,kr_schuel,kr_schuel_vor,kr_schuel_grund,kr_schuel_haupt,kr_schuel_real,kr_schuel_gym,kr_schuel_waldorf,kr_schuel_geschul,kr_schuel_abend,kr_schuel_sonder,kr_schuel_orient,kr_schuel_mult,kr_schueler,kr_student,kr_azubi
95,05,Nordrhein-Westfalen,05562,Recklinghausen,63393,-99,21193,2243,10059,15312,452,10209,-99,2706,-99,1219,65354,8132,19346
96,05,Nordrhein-Westfalen,05566,Steinfurt,50003,-99,16779,2679,7075,12456,122,6565,613,1987,-99,1727,53146,2657,13773
97,05,Nordrhein-Westfalen,05570,Warendorf,31241,-99,10376,1013,1275,8235,217,5049,-99,820,-99,4256,33784,1364,6231
98,05,Nordrhein-Westfalen,05711,Bielefeld,39008,196,12353,561,6029,9663,349,5626,1715,1909,-99,607,39693,31094,17301
99,05,Nordrhein-Westfalen,05754,Gütersloh,41793,-99,13721,397,3107,11178,390,10913,-99,1378,-99,709,44069,3406,8642
100,05,Nordrhein-Westfalen,05758,Herford,28418,-99,9218,151,4686,6840,-99,6073,-99,978,-99,472,28984,1424,8649
101,05,Nordrhein-Westfalen,05762,Höxter,16380,-99,4830,54,1653,5271,-99,1626,-99,628,-99,2318,17719,170,4325
102,05,Nordrhein-Westfalen,05766,Lippe,38732,-99,13282,1135,4240,9235,344,5866,-99,1435,-99,3195,39875,7529,8308
103,05,Nordrhein-Westfalen,05770,Minden-Lübbecke,36995,-99,11447,432,2977,8806,276,7167,601,1603,-99,3686,38030,37,8991
104,05,Nordrhein-Westfalen,05774,Paderborn,34625,153,11591,1004,3746,8295,440,6501,690,1271,-99,934,36230,20447,11110
105,05,Nordrhein-Westfalen,05911,Bochum,36207,134,11316,885,3199,8574,1210,7288,685,1945,-99,971,35813,35177,11874
106,05,Nordrhein-Westfalen,05913,Dortmund,60631,68,21059,2806,7599,14417,766,9308,1332,2854,-99,422,59680,42310,23150
107,05,Nordrhein-Westfalen,05914,Hagen,21682,-99,6981,1000,2027,5215,350,3836,577,813,-99,883,21599,2082,9377
108,05,Nordrhein-Westfalen,05915,Hamm,19905,-99,6543,1548,3558,4046,355,2937,-99,918,-99,-99,21062,5782,6655
109,05,Nordrhein-Westfalen,05916,Herne,16670,-99,5329,354,2510,3689,900,3120,145,623,-99,-99,16703,3107,3793
