_id,id,ags2,bundesland,ags5,kreis,kr_hh,kr_hh_1p,kr_hh_2p,kr_hh_3p,kr_hh_4p,kr_hh_5p,kr_hh_kind,kr_hh_k_00u03,kr_hh_k_03u06,kr_hh_k_06u10,kr_hh_k_10u15,kr_hh_k_15u18,kr_hh_dinks
96,96,05,Nordrhein-Westfalen,05566,Steinfurt,190377,42753,73973,46970,19872,6690,66304,9747,9345,12900,19472,10918,23503
97,97,05,Nordrhein-Westfalen,05570,Warendorf,120255,30426,46727,24762,14297,4043,39700,5668,5741,7782,11724,6721,15169
98,98,05,Nordrhein-Westfalen,05711,Bielefeld,168858,70092,56293,20823,18331,2916,42190,7085,6612,8796,11820,6772,18823
99,99,05,Nordrhein-Westfalen,05754,Gütersloh,158080,44010,55234,32623,20551,5653,52941,7865,7688,10638,15952,8474,18279
100,100,05,Nordrhein-Westfalen,05758,Herford,118267,35317,49855,18746,12353,1996,30647,4691,4804,6358,8336,5086,15254
101,101,05,Nordrhein-Westfalen,05762,Höxter,62888,15303,26596,13430,6174,1353,19275,2688,2666,3836,5515,3176,8173
102,102,05,Nordrhein-Westfalen,05766,Lippe,162660,48840,65829,27615,16869,3390,45029,7072,7028,9543,12369,7335,20303
103,103,05,Nordrhein-Westfalen,05770,Minden-Lübbecke,138800,36640,56119,26687,15700,3624,40432,5924,5938,8205,11749,6370,16716
104,104,05,Nordrhein-Westfalen,05774,Paderborn,142411,47066,49225,26919,14832,4020,43016,6597,6628,8854,12192,6698,15610
105,105,05,Nordrhein-Westfalen,05911,Bochum,195445,92600,60612,17920,21353,2067,44288,7703,7106,9081,11719,7100,20768
106,106,05,Nordrhein-Westfalen,05913,Dortmund,310267,143448,97560,31013,33280,4173,73576,12949,12024,15020,19570,11705,33242
107,107,05,Nordrhein-Westfalen,05914,Hagen,95078,41230,29462,10874,11633,1855,25548,4290,4100,5269,6945,4356,10326
108,108,05,Nordrhein-Westfalen,05915,Hamm,86294,29828,32236,12875,9523,1510,23897,3700,3714,4878,6739,4063,10354
109,109,05,Nordrhein-Westfalen,05916,Herne,83028,39057,25979,7527,9551,914,19978,3326,3213,4117,5325,3532,8697
110,110,05,Nordrhein-Westfalen,05954,Ennepe-Ruhr-Kreis,168667,72510,57780,18356,17504,2085,38036,6238,6000,7799,10681,6173,18409
111,111,05,Nordrhein-Westfalen,05958,Hochsauerlandkreis,129431,43466,55303,18088,11009,1534,29228,4415,4376,5913,8290,5096,16913
112,112,05,Nordrhein-Westfalen,05962,Märkischer Kreis,197347,69431,72941,27197,23912,3817,54066,8427,8101,11015,15422,9163,23521
113,113,05,Nordrhein-Westfalen,05966,Olpe,63919,19333,27124,9613,6975,859,16520,2534,2632,3413,4580,2720,8925
114,114,05,Nordrhein-Westfalen,05970,Siegen-Wittgenstein,136083,42559,60219,18615,12796,1529,31638,5272,5073,6618,8195,5111,18475
115,115,05,Nordrhein-Westfalen,05974,Soest,142223,42373,59528,23905,13868,2503,38225,5770,5818,7867,10513,6365,18771
116,116,05,Nordrhein-Westfalen,05978,Unna,193987,66577,80472,23171,21121,2570,47178,7535,7351,9555,13206,7905,24859
117,117,06,Hessen,06411,Kreisfreie Stadt Darmstadt,84949,41384,22602,10074,7931,1817,19817,3692,3262,4259,5061,2857,7966
